name,followers,popularity,genres,image_url,external_url
Miles Davis Sextet,47794,34,"['bebop', 'cool jazz', 'hard bop', 'jazz']",https://i.scdn.co/image/ab67616d00001e02fc610e983077edf3d076bcc4,https://open.spotify.com/artist/1i4ed4I1y7YerI0fQV4lVc
Miles Davis Quartet,59509,37,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']",https://i.scdn.co/image/ab67616d00001e0286b3a9589f9ccfc3e6167fe0,https://open.spotify.com/artist/4sQVPSDmfqIxG9W8o2EROX
Miles Davis Quintet,207132,55,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion']",https://i.scdn.co/image/399ee45e619648be6ce992228b79354f31b69999,https://open.spotify.com/artist/71Ur25Abq58vksqJINpGdx
Sonny Rollins,233681,56,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz']",https://i.scdn.co/image/3f1e8d2aae30da65b95d4984b881530e01906a9a,https://open.spotify.com/artist/1VEzN9lxvG6KPR3QQGsebR
Charles Mingus,320673,55,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",https://i.scdn.co/image/5a2224926d7f6ba19e53f1ac80c5c4bb82c7fe28,https://open.spotify.com/artist/1W8TbFzNS15VwsempfY12H
Bill Evans Trio,156074,58,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trio', 'soul jazz', 'stride']",https://i.scdn.co/image/c597d97f26ec86f84b1c99baa0ade78c8f9aa46d,https://open.spotify.com/artist/3VEG6gxFIMfl4Cdog26avS
John Coltrane,1187648,68,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz saxophone']",https://i.scdn.co/image/650321aebf5b4ba7517aeaacc0e9e712708dc317,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
Charlie Parker,419466,57,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'vocal jazz']",https://i.scdn.co/image/0dd8e8ba56a41b2d54d1708c112553c9d199f886,https://open.spotify.com/artist/4Ww5mwS7BWYjoZTUIrMHfC
Thelonious Monk,451735,60,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",https://i.scdn.co/image/60621fd4b4a1588e8c8c2bba7e2a189ebac49a0c,https://open.spotify.com/artist/4PDpGtF16XpqvXxsrFwQnN
Wayne Shorter,138183,52,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'vocal jazz']",https://i.scdn.co/image/27b5260a9b45ec6483d2716785115e1316feeec5,https://open.spotify.com/artist/0ZqhrTXYPA9DZR527ZnFdO
