name,followers,popularity,genres,image_url,external_url
Miles Davis,1934674,68,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",https://i.scdn.co/image/a318c54208af38364d131a54ced2416423696018,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
Cesária Evora,223011,60,"['afropop', 'cape verdean folk', 'morna', 'twoubadou', 'world']",https://i.scdn.co/image/6c8b02095d61f33694605d93af0b27ca615096f8,https://open.spotify.com/artist/0Nks3cFWU2a7rooAlFQYgn
Buena Vista Social Club,817046,67,"['latin jazz', 'musica tradicional cubana', 'world']",https://i.scdn.co/image/9542d171203522de67c83f0deaf855519b3c4438,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Moby,1319627,73,"['downtempo', 'electronica']",https://i.scdn.co/image/20ff937d7bb21aae7cdd93f40fea9a4ac31b5da1,https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF
Yann Tiersen,813826,70,"['bow pop', 'compositional ambient', 'french soundtrack']",https://i.scdn.co/image/c6c70c6c085fdd1d076eabb7cf3b04a416c8df5c,https://open.spotify.com/artist/00sazWvoTLOqg5MFwC68Um
Billie Eilish,34421691,93,"['electropop', 'pop']",https://i.scdn.co/image/dc74e8e210274fd6107a795db2455c1e03730667,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Bill Evans,424329,64,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",https://i.scdn.co/image/7a21999da5e80714ec222c493dae1c946f1bf36c,https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF
Parov Stelar,855280,67,"['downtempo', 'electro swing', 'nu jazz', 'tropical house']",https://i.scdn.co/image/48e873dfd7604d78c68fb9d7c4320ed5eea98356,https://open.spotify.com/artist/65EXuYHVoehCKqp0kOS6px
Miles Davis Sextet,47794,34,"['bebop', 'cool jazz', 'hard bop', 'jazz']",https://i.scdn.co/image/ab67616d00001e02fc610e983077edf3d076bcc4,https://open.spotify.com/artist/1i4ed4I1y7YerI0fQV4lVc
Chet Baker,642849,69,"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",https://i.scdn.co/image/baa4a09ca62a85dab5de4a8e9d635571b9cfac9d,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T
Yoga,48648,61,['sleep'],https://i.scdn.co/image/81900d49f487c739348ebadcba4f676f53c02ebc,https://open.spotify.com/artist/3hCKWhFiEID6G0QAkPAHR2
Hank Mobley Quintet,287,18,[],https://i.scdn.co/image/ab67616d00001e02e542b8f0825d4d005d949cd4,https://open.spotify.com/artist/21TnGY8mNcmxPXWb6KRYXK
Arctic Monkeys,9902073,87,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Ash,53830,60,['arab electronic'],https://i.scdn.co/image/4c2a381302a5febe2338083de9f91c5ab4718c16,https://open.spotify.com/artist/4nkuNzBcYGlNmAqFWbHLqS
Keith Jarrett,219068,61,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",https://i.scdn.co/image/c4ccce8cbacbe75dc9301ba0fb01e038fcce7ba1,https://open.spotify.com/artist/0F3Aew9DSd6fb6192K1K0Y
John Coltrane,1187648,68,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz saxophone']",https://i.scdn.co/image/650321aebf5b4ba7517aeaacc0e9e712708dc317,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
John Hanks,985,56,"['chill guitar', 'focus']",https://i.scdn.co/image/3337ff53ac7dd312ae638986a2e61c027fce8d7c,https://open.spotify.com/artist/3MN3dRQvZWIRj0wTpY5QnY
Sergei Baronin,3722,57,"['chill guitar', 'focus']",https://i.scdn.co/image/ab67616d00001e026be404cf6891b8ad2d0d8e31,https://open.spotify.com/artist/43F9YqxW89cDIMwYv7Ruoy
Spa,40988,68,['sleep'],https://i.scdn.co/image/2368914ea2758ef52b2a9bf2f1627fcfb12be333,https://open.spotify.com/artist/4LUYOHM73gVlfY5TzRbIgX
Miles Davis Quartet,59509,37,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']",https://i.scdn.co/image/ab67616d00001e0286b3a9589f9ccfc3e6167fe0,https://open.spotify.com/artist/4sQVPSDmfqIxG9W8o2EROX
Petit Biscuit,804904,74,"['new french touch', 'tropical house']",https://i.scdn.co/image/2c5c211359f575be1af711a7cbc738fb571d820b,https://open.spotify.com/artist/6gK1Uct5FEdaUWRWpU4Cl2
Miranda Boumedin,2886,56,"['chill guitar', 'focus']",https://i.scdn.co/image/ab67616d00001e02bb82752c13f2b0ffcdb74389,https://open.spotify.com/artist/7EoXdWfRaaIxcEqlXjKmJ2
The Dreamers,36,1,[],https://i.scdn.co/image/fac4a68b948b6c58730595dc2afe666332831cb1,https://open.spotify.com/artist/7rvnOfv3iVGsg7jmnSrmrK
Rawh-Rawh Mitchells,1608,34,[],https://i.scdn.co/image/ab67616d00001e0250137b541c16e517afe7e867,https://open.spotify.com/artist/43oSmnuuK1CnltiBPs0UHr
Conan Gray,1968934,86,"['bedroom pop', 'indie pop', 'pop']",https://i.scdn.co/image/01232f965a5036904947d998ef6ceb4bfc9e20de,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea
Harry Styles,10217916,92,"['pop', 'post-teen pop']",https://i.scdn.co/image/44329fa8c646f4eb2bcf7af62afe195bfb2c4830,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
CryptoCanuck,8778,41,[],https://i.scdn.co/image/c6197154da0c3325a0e8798be4f6f721dd3144e1,https://open.spotify.com/artist/7mfFGIqTbLgWEVb6Bjx4h1
Elderbrook,165546,75,"['deep house', 'house', 'pop dance', 'tropical house']",https://i.scdn.co/image/315e1911f2487a398cc99eae83ca40cc514d36a7,https://open.spotify.com/artist/2vf4pRsEY6LpL5tKmqWb64
Maggie Rogers,677731,73,"['electropop', 'pop']",https://i.scdn.co/image/3e5fe8e40f8e7a888ad49a0a235120fad53d5e3d,https://open.spotify.com/artist/4NZvixzsSefsNiIqXn0NDe
Beauvois,20701,51,"['new french touch', 'vapor soul']",https://i.scdn.co/image/05d7c963367e90ce4ff692972da90976b4af8fb7,https://open.spotify.com/artist/6AbXJxYckXHpMDApmUyP8A
Ru1sch,76,25,[],https://i.scdn.co/image/3f62f45c27f526325a756225d4e5f54a2f29a764,https://open.spotify.com/artist/0gUkHI3e2s55EeG58pYmFu
Ruben Gonzalez,38372,52,"['jazz cubano', 'latin jazz', 'musica tradicional cubana']",https://i.scdn.co/image/15ac4d2b13266d45037285e85c9fbee2a9a6bac6,https://open.spotify.com/artist/00n4Vljc6N9pvJ26SKPphh
