song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
bad guy,3:14,88.0,2.0,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Let's Fall in Love for the Night,3:10,79.0,1.0,https://open.spotify.com/track/7kQkmyoHCEqwe7QwDbkSXM,https://p.scdn.co/mp3-preview/6c4c568b6c1e8c86ea51333fcf8a1b30d02b4810?cid=2490920ce5574a1a9b97a3e366c39dd3,Let’s Fall In Love For The Night,2018-10-19,1.0,https://i.scdn.co/image/ab67616d00001e02b226999f1df0dcdec8a53abe,https://open.spotify.com/album/3LONldJV06J1AHEph6lopK,FINNEAS,https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX
Star Treatment,5:54,56.0,1.0,https://open.spotify.com/track/0b93tWwuoAC0nXe1CfR30I,https://p.scdn.co/mp3-preview/96cf115e9813becf7d7d39f80fcc6a929666858f?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
everything i wanted,4:05,87.0,1.0,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,,everything i wanted,2019-11-13,1.0,https://i.scdn.co/image/ab67616d00001e02f2248cf6dad1d6c062587249,https://open.spotify.com/album/4i3rAwPw7Ln2YrKDusaWyT,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Runnin' (Lose It All),3:33,66.0,1.0,https://open.spotify.com/track/5yZvaUVyuXfSVUaMumFi6l,,Runnin' (Lose It All),2015-09-17,1.0,https://i.scdn.co/image/ab67616d00001e02c24dcf24b68739638e3231bd,https://open.spotify.com/album/2YnYgyx7N8MkgQHCcRYfKP,Naughty Boy,https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5
No Roots,3:57,59.0,3.0,https://open.spotify.com/track/3D5wnLaeVlCCIPzQOOAirA,https://p.scdn.co/mp3-preview/f908464937806ca039446a780db356eb6e5902eb?cid=2490920ce5574a1a9b97a3e366c39dd3,Mint,2019-01-18,11.0,https://i.scdn.co/image/ab67616d00001e027d53a512292b565a520aaca1,https://open.spotify.com/album/5j6gsQqT3UZeSghw0Xf3Pi,Alice Merton,https://open.spotify.com/artist/7f0OLhGgBMX9fUjm1dcPip
Hymn For The Weekend,4:28,48.0,1.0,https://open.spotify.com/track/5VpNPtwollTGlk1l5XwAPj,https://p.scdn.co/mp3-preview/f4ffa1765c387b4b0b99b4c09d142fa5b246ab8c?cid=2490920ce5574a1a9b97a3e366c39dd3,Hymn For The Weekend,2019-04-05,1.0,https://i.scdn.co/image/ab67616d00001e02ca531708d5150546e028eeb6,https://open.spotify.com/album/4c3TYV0UUNuy9B3ac9X7Wh,Izzamuzzic,https://open.spotify.com/artist/5EiDVD35ofoSKq1KE0jcs8
Move On,4:07,57.0,1.0,https://open.spotify.com/track/5jYntKRDo21t5sEQHx8OM2,,Move On,2017-06-02,1.0,https://i.scdn.co/image/ab67616d00001e020355300b741c663aca5c0202,https://open.spotify.com/album/4GngckWbcK6cWopdBoWLdg,Deeperise,https://open.spotify.com/artist/0ZRQKFaYGEtbLc8NbyICoe
Standing Next To Me,2:18,24.0,2.0,https://open.spotify.com/track/5Yo7EKacdJJF30Kb1YEots,,The Age Of The Understatement,2008-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02b7ca0fd108a57c36d381867e,https://open.spotify.com/album/3wKnLgxCmFr7vl3izFVTDM,The Last Shadow Puppets,https://open.spotify.com/artist/2Z7UcsdweVlRbAk5wH5fsf
Running to the Sea,4:54,36.0,9.0,https://open.spotify.com/track/2QFdSwZc620pvS0tNtJHPV,https://p.scdn.co/mp3-preview/16172d9f56b2947e5abb10327c491f39772ad2fc?cid=2490920ce5574a1a9b97a3e366c39dd3,The Inevitable End,2014-11-10,17.0,https://i.scdn.co/image/ab67616d00001e02964b2a68a45f1718e230bab9,https://open.spotify.com/album/6q1uOMg6OEgMPMAfajpPTF,Röyksopp,https://open.spotify.com/artist/5nPOO9iTcrs9k6yFffPxjH
