song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
everything i wanted,4:05,87,1,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,,everything i wanted,2019-11-13,1,https://i.scdn.co/image/ab67616d00001e02f2248cf6dad1d6c062587249,https://open.spotify.com/album/4i3rAwPw7Ln2YrKDusaWyT,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
lovely (with Khalid),3:20,88,1,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,,lovely (with Khalid),2018-04-19,1,https://i.scdn.co/image/ab67616d00001e028a3f0a3ca7929dea23cd274c,https://open.spotify.com/album/2sBB17RXTamvj7Ncps15AK,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
bad guy,3:14,88,2,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Coffee Breath,2:43,71,1,https://open.spotify.com/track/2I9zHCCeKJRKMgJ6UJFN9W,https://p.scdn.co/mp3-preview/8b4b554878df42471c8c2526be51d836a26f1bf5?cid=2490920ce5574a1a9b97a3e366c39dd3,Coffee Breath,2018-03-08,1,https://i.scdn.co/image/ab67616d00001e027f38da30355f935022d1b351,https://open.spotify.com/album/7q0mdGYnuhBbn1hb4rNmG4,Sofia Mills,https://open.spotify.com/artist/7H0Xu8hdP0tjpZ6z4dHquW
i love you,4:51,82,13,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
The Weight Is Gone,3:32,44,2,https://open.spotify.com/track/2K1G9I3f0d28r1Ex0kSFyg,,About You,2018-06-01,13,https://i.scdn.co/image/ab67616d00001e02d260d8f017172b26d4013fd7,https://open.spotify.com/album/1t7FwYLSRY0gcMZvsndBVM,Albin Lee Meldau,https://open.spotify.com/artist/1AdKbbV5v6ifuJertEjNeK
Dog Years,4:37,59,4,https://open.spotify.com/track/5RRNZFyOi17nTh2bPEKPtp,,Now That The Light Is Fading,2017-02-16,5,https://i.scdn.co/image/ab67616d00001e02d0aff101587ed69600d7daab,https://open.spotify.com/album/16wZsyXQ463IYlrXyJnRfY,Maggie Rogers,https://open.spotify.com/artist/4NZvixzsSefsNiIqXn0NDe
Move On,4:07,57,1,https://open.spotify.com/track/5jYntKRDo21t5sEQHx8OM2,,Move On,2017-06-02,1,https://i.scdn.co/image/ab67616d00001e020355300b741c663aca5c0202,https://open.spotify.com/album/4GngckWbcK6cWopdBoWLdg,Deeperise,https://open.spotify.com/artist/0ZRQKFaYGEtbLc8NbyICoe
We Are The People,4:27,60,4,https://open.spotify.com/track/57RHMnLMQx8Qz5V6c0E8dF,,Walking On A Dream (Special Edition),2009-01-01,22,https://i.scdn.co/image/ab67616d00001e02fffbc6bb8f405c2dacf8d64b,https://open.spotify.com/album/1GoqBRUPZzBKvMKZxSQ1mp,Empire of the Sun,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c
Makeba - Radio Edit,3:36,51,1,https://open.spotify.com/track/5FkBFIGzG8lYFktLyZNUq6,https://p.scdn.co/mp3-preview/5b641dc84a3a305f56cd4e36b66b7d3acec2b626?cid=2490920ce5574a1a9b97a3e366c39dd3,Makeba (Radio Edit),2016-12-02,1,https://i.scdn.co/image/ab67616d00001e02b99bfc287926e3604511d6e9,https://open.spotify.com/album/4GtRTtBrGPlgzhuXTuGFx1,Jain,https://open.spotify.com/artist/2HHmvvSQ44ePDH7IKVzgK0
