track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
7kQkmyoHCEqwe7QwDbkSXM,5,1,4,190348,127.921,0.737,0.408,-7.941,0.104,0.802,0,0.171,0.374
2QFdSwZc620pvS0tNtJHPV,6,0,4,294886,122.914,0.547,0.89,-5.493,0.0403,0.00854,0.22,0.0834,0.302
6yuhA5jlK7gEAIVoJ5WK1f,3,1,4,345267,121.761,0.447,0.121,-21.562,0.0378,0.803,0.777,0.0695,0.0989
5Yo7EKacdJJF30Kb1YEots,9,0,4,138413,183.915,0.311,0.926,-6.268,0.0821,0.000972,1.05e-06,0.323,0.743
3D5wnLaeVlCCIPzQOOAirA,4,0,4,237053,115.952,0.863,0.673,-6.576,0.1,0.258,0.00271,0.0745,0.821
5yZvaUVyuXfSVUaMumFi6l,6,1,4,213019,139.163,0.319,0.846,-6.109,0.0796,0.0103,4.11e-05,0.475,0.0784
5VpNPtwollTGlk1l5XwAPj,0,0,4,268976,81.934,0.367,0.675,-7.569,0.0697,0.361,0.411,0.145,0.371
5jYntKRDo21t5sEQHx8OM2,4,0,4,247423,97.04,0.778,0.502,-10.358,0.0285,0.383,0.000506,0.0944,0.319
2Fxmhks0bxGSBdJ92vM42m,7,1,4,194088,135.128,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562
2aLvHsy5JBLrpG2RworRzC,6,0,4,197227,125.999,0.794,0.563,-11.549,0.031,0.344,8.62e-06,0.731,0.84
7xzMrUmlooPa1Fmp88hlYc,8,1,4,293640,82.691,0.575,0.43,-13.168,0.0363,0.822,0.000661,0.115,0.427
3ZCTVFBt2Brf31RLEnCkWJ,6,0,4,245426,120.006,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243
7D4Yk22MDzE47SXXqjuime,8,1,4,187760,174.853,0.395,0.546,-5.932,0.0544,0.812,0.000806,0.231,0.673
4QwzVlAJSkcLeCNQ6Ug30P,10,1,4,499533,114.27,0.478,0.00776,-24.986,0.0614,0.983,0.78,0.105,0.215
