song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Architect,2018-11-10T13:53:25Z,3:50,0,8,https://open.spotify.com/track/6zYLkNUB3jH5vmBTNVDLiK,,Non​-​Album Tracks,2016-10-05,13,https://i.scdn.co/image/ab67616d00001e02d522795aa15dd45684d79b3a,https://open.spotify.com/album/6mG8Xb8jFK5Yz0kzGYtEq2,Break My Fucking Sky,https://open.spotify.com/artist/3mFTiX7WrhpcmoJLghp54A
You I Need,2015-04-17T22:18:07Z,4:22,0,4,https://open.spotify.com/track/4cwmS4ClC853LXP1w7uOyR,,The Beginning Of Times,2011-05-25,12,https://i.scdn.co/image/ab67616d00001e024744824f0c9102024f76bd61,https://open.spotify.com/album/42Yq9hqoCnZ2hWgt3smNwX,Amorphis,https://open.spotify.com/artist/2UOVgpgiNTC6KK0vSC77aD
Time,2015-04-17T22:16:09Z,11:44,0,5,https://open.spotify.com/track/7oJdT5qytNzmEfJp0fJLiB,,Time I,2012-10-19,5,https://i.scdn.co/image/ab67616d00001e02054e6502b1f252e5e5f896c5,https://open.spotify.com/album/7uGA3snLQnBXTSujaoOn5u,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Darkness And Frost,2015-04-17T22:16:07Z,2:23,0,4,https://open.spotify.com/track/08nLiCsrLgjKmF97jcTDsG,,Time I,2012-10-19,5,https://i.scdn.co/image/ab67616d00001e02054e6502b1f252e5e5f896c5,https://open.spotify.com/album/7uGA3snLQnBXTSujaoOn5u,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Land Of Snow And Sorrow,2015-04-17T22:16:05Z,8:21,0,3,https://open.spotify.com/track/2iGWNSJgNKBZ53ZS3OZsPR,,Time I,2012-10-19,5,https://i.scdn.co/image/ab67616d00001e02054e6502b1f252e5e5f896c5,https://open.spotify.com/album/7uGA3snLQnBXTSujaoOn5u,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Sons Of Winter And Stars,2015-04-17T22:16:02Z,13:31,0,2,https://open.spotify.com/track/0PKTH6KQZdOHHLipvl46TA,,Time I,2012-10-19,5,https://i.scdn.co/image/ab67616d00001e02054e6502b1f252e5e5f896c5,https://open.spotify.com/album/7uGA3snLQnBXTSujaoOn5u,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
When Time Fades Away,2015-04-17T22:15:59Z,4:07,0,1,https://open.spotify.com/track/7l6RA6kz0NX7V92IHmIXcV,,Time I,2012-10-19,5,https://i.scdn.co/image/ab67616d00001e02054e6502b1f252e5e5f896c5,https://open.spotify.com/album/7uGA3snLQnBXTSujaoOn5u,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Sadness And Hate,2015-04-17T22:15:44Z,10:16,0,8,https://open.spotify.com/track/7KuriDfwjxBF4xAZTgKo0m,,Wintersun,2004-09-13,8,https://i.scdn.co/image/ab67616d00001e026a9adaf9e5535e16658d1408,https://open.spotify.com/album/7uHCzLW8peZJ72WHFzaYxy,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Beautiful Death,2015-04-17T22:15:38Z,8:16,0,7,https://open.spotify.com/track/1DZ2aoDiNsaFZGRp9SV4a1,,Wintersun,2004-09-13,8,https://i.scdn.co/image/ab67616d00001e026a9adaf9e5535e16658d1408,https://open.spotify.com/album/7uHCzLW8peZJ72WHFzaYxy,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Sleeping Stars,2015-04-17T22:15:32Z,5:41,0,3,https://open.spotify.com/track/5wldLik2T3G8YfTWqAy4Yy,,Wintersun,2004-09-13,8,https://i.scdn.co/image/ab67616d00001e026a9adaf9e5535e16658d1408,https://open.spotify.com/album/7uHCzLW8peZJ72WHFzaYxy,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
