name,followers,popularity,genres,image_url,external_url
Future World Music,46000.0,48.0,['epicore'],https://i.scdn.co/image/6d80d4e10b656533c449dab6718d7019792ef8d2,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Thomas Bergersen,170177.0,70.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/9cc2b715294ec21bebc2629a257d302b98ec9ba6,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Break My Fucking Sky,5155.0,28.0,['russian post-rock'],https://i.scdn.co/image/47492a0be12c4175b2e65bd7289a4c87b2a55758,https://open.spotify.com/artist/3mFTiX7WrhpcmoJLghp54A
Immediate,45163.0,50.0,"['epicore', 'scorecore', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02de9bcf502111e928c25c15a3,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Audiomachine,181477.0,63.0,"['epicore', 'scorecore', 'video game music']",https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
April Rain,12500.0,34.0,['russian post-rock'],https://i.scdn.co/image/4735da7e700a4945e33b6f9eeac10786856dcfa1,https://open.spotify.com/artist/739AuFSVMsDpObOcslwJRI
Aesthesys,2782.0,23.0,"['cinematic post-rock', 'russian post-rock']",https://i.scdn.co/image/ead62cac120ca994c57291abe1545728e4369120,https://open.spotify.com/artist/0wdc6cxY8GzxkrMHGXSuOn
Equilibrium,130618.0,54.0,"['folk metal', 'german metal', 'german pagan metal', 'melodic death metal', 'melodic metal', 'neue deutsche harte', 'power metal', 'viking metal']",https://i.scdn.co/image/7a0e52051e31ab81d6afca3c495f60337f103b27,https://open.spotify.com/artist/5KvkOKroKLz202ioXfGWR2
E.S. Posthumus,53709.0,44.0,"['bow pop', 'epicore', 'scorecore']",https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Globus,31382.0,44.0,"['bow pop', 'epicore']",https://i.scdn.co/image/ab67616d00001e02a725d1d75debf5db282e100c,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
