song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Presence of Mind,2020-11-07T12:50:08Z,4:16,44,1,https://open.spotify.com/track/59S8Ygd3NlTfadqCyBiKDz,https://p.scdn.co/mp3-preview/c4e1e46fff7b0615f213429184a7bc0a43db794c?cid=2490920ce5574a1a9b97a3e366c39dd3,The Dark Delight,2020-04-03,13,https://i.scdn.co/image/ab67616d00001e02e130d1576c55aa9b9d166442,https://open.spotify.com/album/44k8riSJcKxQH5hIX2s1G7,Dynazty,https://open.spotify.com/artist/5deRBvKxJssHVa9n6B7tWV
Take Me Away,2020-11-05T13:57:33Z,4:06,35,1,https://open.spotify.com/track/7gDSMHIDjjZpcPCdiu6jIn,https://p.scdn.co/mp3-preview/abae9a350979eb8074ff7c23242fc416caf4a816?cid=2490920ce5574a1a9b97a3e366c39dd3,Epicon,2008-08-26,12,https://i.scdn.co/image/ab67616d00001e025a173a0674fe35180dde6e0f,https://open.spotify.com/album/2VcligsCHJ7znhET1KPEHM,Globus,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Prometheus,2020-11-04T16:57:39Z,5:06,30,8,https://open.spotify.com/track/78EELjqOysiTFwJVOlsQmx,https://p.scdn.co/mp3-preview/8cceca16b2136242acf75e4f3cf5222c23285b27?cid=2490920ce5574a1a9b97a3e366c39dd3,Prometheus - Symphonia Ignis Divinus,2015-06-19,12,https://i.scdn.co/image/ab67616d00001e02b0a5ef477299a695a682f1b2,https://open.spotify.com/album/4hzsqjNC4hIbkIUvwgia0L,Luca Turilli's Rhapsody,https://open.spotify.com/artist/0PRRjT3oYRbOuybmBXzVwP
My Life for One More Day,2020-11-04T13:05:03Z,6:51,21,13,https://open.spotify.com/track/7uX9Xdk7t5S0fidhjlgPv5,https://p.scdn.co/mp3-preview/4f0f4b94c35c7b19450728474e3d02920d26d45a?cid=2490920ce5574a1a9b97a3e366c39dd3,Keeper of the Seven Keys: The Legacy,2016-09-09,13,https://i.scdn.co/image/ab67616d00001e0280ed76071ce9cea793e8baca,https://open.spotify.com/album/3CwKak7o1LLHDkGIt3hOz9,Helloween,https://open.spotify.com/artist/4pQN0GB0fNEEOfQCaWotsY
Palladio,2020-11-03T11:17:59Z,3:54,45,2,https://open.spotify.com/track/1ALiG3jOB2tOfKiAWscWYQ,https://p.scdn.co/mp3-preview/f60048fe8da8990ddd96d422fb862e2bf473b2f0?cid=2490920ce5574a1a9b97a3e366c39dd3,Escala,2009-05-25,11,https://i.scdn.co/image/ab67616d00001e0236535da03cd8bb08d73d229f,https://open.spotify.com/album/3jAldd2C0JtIYsLPDusbfM,Escala,https://open.spotify.com/artist/20VIE9Okvl7RfmuCsVlwxb
Heading for the Dawn,2020-11-02T18:41:31Z,4:04,14,6,https://open.spotify.com/track/1zAR7Y8Ro4ntQnRWSRQMQ7,https://p.scdn.co/mp3-preview/b51be0f686738db4227f5ec429b2c51c9fec2c0c?cid=2490920ce5574a1a9b97a3e366c39dd3,Days Of Defiance,2010-10-25,14,https://i.scdn.co/image/ab67616d00001e02a8ad2e92c4d47f9f469a490c,https://open.spotify.com/album/0SIQPnenLBRBunhBVxrADD,Firewind,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r
Until You Break,2020-11-02T11:22:45Z,4:01,32,1,https://open.spotify.com/track/4OdKjX4IPfxQrL11UNSvTn,https://p.scdn.co/mp3-preview/ed81c2f42db7e8418fabda909ee410caca896f98?cid=2490920ce5574a1a9b97a3e366c39dd3,Until You Break,2017-05-11,11,https://i.scdn.co/image/ab67616d00001e02b4a71dd4cc307e73adbd584e,https://open.spotify.com/album/4zcJ1o9w2QIE4nlJb3HFRs,End of the Dream,https://open.spotify.com/artist/3XasyudrgZsb1ENK3rbZBr
Destiny,2020-11-01T19:20:07Z,3:54,21,6,https://open.spotify.com/track/2M2O7NJvTZWqc8CJ6qjMgV,https://p.scdn.co/mp3-preview/85574bcb0d79132e510ea55a52cff55cd674811b?cid=2490920ce5574a1a9b97a3e366c39dd3,The End of Life,2008-07-13,11,https://i.scdn.co/image/ab67616d00001e028c53610ffff5cc06b03f4ded,https://open.spotify.com/album/1ni5oQyqSaNv0v2kvodrzT,UnSun,https://open.spotify.com/artist/6gOet6ki04ZkASl49nF37y
Across the Seas,2020-10-31T18:57:43Z,7:22,24,7,https://open.spotify.com/track/26Gtu1FnszNCZLAcNDu4ko,https://p.scdn.co/mp3-preview/214ab90dba43b3b570b668a58809815035a64d6f?cid=2490920ce5574a1a9b97a3e366c39dd3,The Zeramin Game,2020-09-18,12,https://i.scdn.co/image/ab67616d00001e0216443946225db2e8da5356be,https://open.spotify.com/album/1FvmXuMR7kFiRzaGVgogik,Memories Of Old,https://open.spotify.com/artist/3jwxNFNe7BHnFTas8X2cGS
Princess of the Night,2020-10-31T14:04:57Z,6:23,35,7,https://open.spotify.com/track/0ZvTvX3V1gE6i0hNnN7zJs,https://p.scdn.co/mp3-preview/bde6eae607c830339f089901a34165e121f5c58f?cid=2490920ce5574a1a9b97a3e366c39dd3,Heart of Steel,2006-06-23,12,https://i.scdn.co/image/ab67616d00001e028b6d188fdfd7cc7c7d8d6980,https://open.spotify.com/album/4XkVW6NkWCLD3OYlBUxpHE,At Vance,https://open.spotify.com/artist/4alZ73UZp90icEjdKjSIxw
