name,followers,popularity,genres,image_url,external_url
Kamelot,274866.0,57.0,"['gothic symphonic metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/69caaacc0bca6c4832d25c22e07327012f9f1fed,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS
Gloryhammer,123471.0,58.0,"['comic metal', 'melodic metal', 'power metal', 'scottish metal', 'symphonic metal']",https://i.scdn.co/image/f154d9725d35cf800cd128c156eb1249119db0ce,https://open.spotify.com/artist/7dkEByOe0oHqc54qU4hwzV
HammerFall,417237.0,61.0,"['gothenburg metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'swedish power metal']",https://i.scdn.co/image/a5738859a69fa1f00368f8bee2fb2a3ac26f31f7,https://open.spotify.com/artist/2o18h28enlHxj887tATc58
Sabaton,1126441.0,77.0,"['metal', 'power metal', 'swedish metal', 'swedish power metal']",https://i.scdn.co/image/508b65d5e0ae5dae0436804d16051ad3029afe41,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG
Damnation Angels,7756.0,33.0,"['melodic metal', 'melodic power metal', 'symphonic power metal']",https://i.scdn.co/image/1440db784980f5ee30fd2641269c138fdc7fb21b,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Nightwish,1446260.0,71.0,"['finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/fd1be3774e33bbef460f916cc13f9a31c78a4fb4,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Blind Guardian,475291.0,59.0,"['german metal', 'hard rock', 'metal', 'neo classical metal', 'power metal', 'speed metal']",https://i.scdn.co/image/ab6772690000dd22131ce8946cbe55c7585aa60f,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6
Stratovarius,409861.0,58.0,"['finnish metal', 'finnish power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ff46b7ae4f095874bddc7a3738c235d5a49c7596,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO
In Flames,816676.0,69.0,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']",https://i.scdn.co/image/821e74e9b668efb8a98b2866f4788ed2f4dd45a0,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Dream Theater,1086495.0,66.0,"['metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive rock', 'rock']",https://i.scdn.co/image/4dd1dfaf7eb5d9140d92ebd9e087a98513a2ce71,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
