name,followers,popularity,genres,image_url,external_url
Memories Of Old,1869.0,35.0,"['melodic metal', 'symphonic power metal']",https://i.scdn.co/image/ba19c2cc831286ede33b310aed22b79a54ca37c5,https://open.spotify.com/artist/3jwxNFNe7BHnFTas8X2cGS
Thomas Bergersen,170177.0,70.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/9cc2b715294ec21bebc2629a257d302b98ec9ba6,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Amon Amarth,724166.0,67.0,"['alternative metal', 'death metal', 'melodic death metal', 'metal', 'power metal', 'swedish death metal', 'swedish metal', 'tolkien metal', 'viking metal']",https://i.scdn.co/image/2b6e47010d6df6c550bf8f22d58fa70409f421e3,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Nightwish,1450692.0,71.0,"['finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/fd1be3774e33bbef460f916cc13f9a31c78a4fb4,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
In Flames,818508.0,69.0,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']",https://i.scdn.co/image/821e74e9b668efb8a98b2866f4788ed2f4dd45a0,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Two Steps from Hell,560371.0,70.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Stratovarius,410957.0,59.0,"['finnish metal', 'finnish power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ff46b7ae4f095874bddc7a3738c235d5a49c7596,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO
Amaranthe,376179.0,69.0,"['gothic symphonic metal', 'power metal']",https://i.scdn.co/image/f13b7265119fe5b79573322e1f7056ce6fa77aa3,https://open.spotify.com/artist/2KaW48xlLnXC2v8tvyhWsa
Beast In Black,107798.0,61.0,"['finnish heavy metal', 'finnish metal', 'finnish power metal', 'melodic metal', 'power metal']",https://i.scdn.co/image/be5cd0ff55078d83387ef251f72c11d0884e9073,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH
Sabaton,1130895.0,77.0,"['metal', 'power metal', 'swedish metal', 'swedish power metal']",https://i.scdn.co/image/508b65d5e0ae5dae0436804d16051ad3029afe41,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG
