track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
1uLvPbmVQdSazw4up0j2sD,2,0,4,398707,134.942,0.468,0.917,-4.981,0.0692,0.00112,0.00427,0.065,0.331
1nmaCgWSxAtNlo35OpKzW6,4,0,4,233268,87.98,0.338,0.69,-7.843,0.0378,0.0331,0.117,0.06,0.302
02WitL66kM2ObNDkM95rFD,0,1,4,351277,169.999,0.384,0.964,-3.378,0.105,0.00022,0.00135,0.107,0.378
3rvWnI645ZIz2je56iXIyB,8,1,4,192683,162.025,0.647,0.886,-3.706,0.259,0.229,0.0,0.515,0.681
6EJfuLTl01JoGXt8rtM1rd,8,1,3,811067,94.976,0.19,0.826,-10.051,0.0565,2.75e-05,0.38,0.13,0.123
5u3l2TONYacJgmRPQVaF9y,6,1,4,248747,191.014,0.374,0.92,-4.653,0.0501,1.62e-05,0.026,0.0802,0.278
5D8vKv4c8AXWZpO9OSpMN5,7,0,4,407560,93.0,0.378,0.7,-6.401,0.0314,0.000379,0.000767,0.257,0.136
32mo62HV6UnPv93OopHCxs,1,0,4,283079,145.0,0.469,0.974,-3.193,0.0455,0.000347,7.97e-05,0.103,0.534
0p21vI2StdprWPtAGftM5c,6,0,4,79840,68.535,0.148,0.105,-23.824,0.042,0.857,0.89,0.117,0.0392
797Hv92nvrmVBaCFV2QLqV,1,0,3,262667,160.054,0.428,0.972,-7.825,0.103,0.000122,0.0365,0.1,0.253
5iwivX7D5NkkUA9EzdiTsN,1,0,4,424533,170.03,0.252,0.902,-5.0,0.0857,0.00119,0.0358,0.0815,0.326
1W44nFtYiD7WLRPUT2QNvj,6,1,5,280680,75.642,0.184,0.376,-7.023,0.0341,0.695,0.000577,0.112,0.114
5JfXImbIiGSH2tOUWnGJty,0,0,4,229880,139.967,0.437,0.794,-6.751,0.0487,0.00181,2.34e-06,0.134,0.347
55soLA9gH7BZYJI4nC7YCq,2,0,4,232627,102.026,0.459,0.904,-7.688,0.0598,0.000227,6.41e-06,0.178,0.375
44mommx98x2Dh3Ud9fdbym,10,0,4,221467,169.97,0.303,0.939,-6.377,0.0671,5.55e-05,0.0128,0.108,0.369
6CWnIJ2LM61ggbFEILAQ7O,11,0,4,227047,150.0,0.512,0.899,-4.519,0.0388,0.0427,0.0,0.112,0.412
0G7PB21lJjVXk179sKqMR5,7,0,4,353040,125.0,0.457,0.736,-4.421,0.0354,0.0035,0.000311,0.131,0.194
7bNE3eCS7Yb17EzzizTl2J,1,0,4,346013,149.974,0.369,0.885,-8.479,0.0954,0.000799,0.00106,0.0816,0.141
1soQioDEI2VnBLCYxfggpC,2,0,4,316013,95.001,0.452,0.898,-5.051,0.0561,0.0056,0.00554,0.0503,0.191
2s6hZEdj3K3TN4MWUypf1a,7,0,4,326640,125.083,0.519,0.947,-4.665,0.0508,0.00122,0.003,0.0604,0.504
61OCizJgUBZQAtgOC8Pfbh,4,0,4,428266,96.984,0.475,0.915,-7.666,0.0453,0.000176,0.0109,0.394,0.236
373crAFbPE4uwBmFsgpJeU,9,1,4,261547,105.981,0.503,0.867,-4.165,0.0477,0.000185,0.118,0.0764,0.226
0sObxZUKqdPfgjG9ahSlP5,6,1,4,270253,129.704,0.506,0.967,-2.973,0.0451,6.59e-05,0.41,0.167,0.488
6JmzfkojV1f2CNQbQkeMbx,7,0,4,336953,105.028,0.434,0.631,-6.381,0.0273,0.436,0.887,0.167,0.0372
3iy4s2X2SKl0dUPv2sewTW,8,1,4,292369,104.027,0.511,0.877,-7.724,0.0542,0.000374,0.0,0.296,0.279
7ldJhE5mB9ukNh3OjuX85T,4,1,3,153927,109.959,0.496,0.926,-3.257,0.041,5.51e-05,0.787,0.293,0.49
3txTmJ7Hu8DSOy6RTzSKnV,8,0,4,310893,154.907,0.438,0.975,-5.84,0.176,0.00294,0.0632,0.16,0.291
5aTzDzHFJom3lMA8QFv6PE,1,1,4,262073,170.003,0.346,0.92,-5.255,0.16,0.000333,1.12e-06,0.165,0.174
0NS3Lon2aNCcIzl7jf2GuF,2,0,4,288627,174.905,0.296,0.869,-4.701,0.0457,5.45e-06,7.83e-05,0.132,0.154
7xPGvZaG9W7UOrCgEwbONe,8,0,3,189893,81.247,0.583,0.415,-7.56,0.0261,0.846,5.2e-05,0.141,0.399
0B6qYQS41EcbC66r7c4DBB,8,0,3,234533,185.66,0.176,0.726,-7.074,0.0537,0.0575,3.01e-06,0.148,0.374
0glfTuUIhuNzNofc0p9b1x,4,0,4,214634,136.003,0.718,0.883,-5.837,0.129,0.599,0.0,0.238,0.41
76BnKXeTKVishfp3cachG8,8,1,4,328973,185.019,0.373,0.994,-3.218,0.141,0.000288,0.000123,0.311,0.3
43LTBUA8nPfm7awbfoLlRY,8,0,3,566200,125.004,0.294,0.782,-6.825,0.0481,0.0053,0.0671,0.122,0.331
0d4djcbgvUDfZL36z9lC3U,5,0,4,364168,136.02,0.442,0.882,-8.53,0.0543,0.00226,0.000565,0.0747,0.119
7ycz6sgZWp4wvF53BZVTjE,2,1,3,398267,127.284,0.321,0.544,-7.179,0.0364,0.293,1.11e-05,0.11,0.283
0eV3PB3T0OxW4feG1DlOjQ,1,1,4,231387,90.997,0.577,0.901,-5.981,0.0492,0.000431,3.59e-06,0.672,0.337
3BsT7xB5kUsCDrmkBvkYVF,4,0,4,272000,140.004,0.56,0.897,-7.842,0.0332,0.000295,0.0,0.113,0.626
3Op2bVsGwXrHxWs7XhR5bX,7,0,4,530000,165.018,0.13,0.934,-5.326,0.0788,5.48e-05,0.601,0.102,0.146
3aJymuSkVjznisc20MND55,0,1,4,308787,157.12,0.375,0.937,-7.17,0.0859,4.15e-05,2.39e-05,0.262,0.388
1eRuo0cdRSqJClg7G6ZjdT,4,0,5,181867,127.418,0.17,0.0504,-29.687,0.0377,0.759,0.948,0.112,0.0963
2jq0oPC9XewR59CvEYpMoJ,9,0,4,252259,149.055,0.352,0.923,-6.018,0.0934,0.00486,0.00013,0.104,0.229
3grQiRfMVcH8hhWbJwhTDE,6,1,4,351400,131.987,0.497,0.983,-2.649,0.112,0.00025,0.000627,0.162,0.312
5YcB0wui6lsi7q9M5WAjkv,11,1,4,256280,175.102,0.351,0.984,-4.569,0.121,2.98e-05,0.0139,0.419,0.242
2GtIcy01Jy17wmNyFoB7IT,7,1,4,238254,105.009,0.547,0.932,-2.616,0.0431,0.00409,3.57e-05,0.0391,0.541
0zxtp9x4mUurrcxZTZXPSg,5,0,4,293147,92.988,0.465,0.937,-3.874,0.0414,0.00147,0.000384,0.231,0.552
5TxotO7jpRFwG1dR1suT7G,4,0,4,264411,110.027,0.295,0.755,-7.916,0.0335,0.0367,0.0251,0.176,0.142
73bDvrmSBh2fr53tLDH9oA,9,0,4,257320,91.02,0.509,0.856,-5.091,0.0553,0.00895,0.0108,0.424,0.427
31XLeIFY68pll9LNu1IkXV,11,0,4,342489,86.494,0.463,0.936,-3.788,0.068,0.0214,0.000271,0.114,0.323
2SY45aKTUdG1YgjPtk2bQI,11,0,4,208720,76.025,0.444,0.929,-5.596,0.043,0.000335,0.00277,0.0708,0.854
4JjpjTQQUTqKwCKuDnYhQP,9,0,4,334120,176.232,0.315,0.53,-6.937,0.0296,0.0847,0.000258,0.0793,0.0693
72jGeL3qwyOrmByT0DUWdj,4,0,4,259500,144.033,0.385,0.944,-5.23,0.101,0.000994,0.0,0.102,0.303
6EAsLKCDMQV3BRRb9OdaMJ,5,0,3,432987,134.883,0.362,0.742,-6.99,0.0321,4.44e-06,0.809,0.37,0.351
2DaSwcRp21ynM2IT3S3ppE,7,0,4,809684,81.281,0.197,0.812,-6.495,0.0577,6.06e-05,0.78,0.334,0.245
