song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Lonely Boy,2019-12-19T15:27:03Z,3:13,72,1,https://open.spotify.com/track/5G1sTBGbZT5o4PNRc75RKI,https://p.scdn.co/mp3-preview/6b462b2d89ed30b669470c39c65b0f04d6ac740b?cid=2490920ce5574a1a9b97a3e366c39dd3,El Camino,2011-12-06,11,https://i.scdn.co/image/ab67616d00001e026a21b97de47168df4f0c1993,https://open.spotify.com/album/5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Eso Se Baila Asi,2019-06-14T14:54:43Z,5:21,0,3,https://open.spotify.com/track/71pNDcd8132efh1p56PwUP,,The Original Gangster,2009,13,https://i.scdn.co/image/ab67616d00001e02b2879a378c7c36999a480564,https://open.spotify.com/album/0Csv84dozue6SsmJxp9t2Y,Willie Colón,https://open.spotify.com/artist/7x5Slu7yTE5icZjNsc3OzW
To Kapilio - Live,2019-04-16T10:51:11Z,4:34,36,13,https://open.spotify.com/track/5TItcE0gPOz5j24sObVX6i,https://p.scdn.co/mp3-preview/2d4c43fa1f39cf47fcea3a327ad899c9c5eef4a7?cid=2490920ce5574a1a9b97a3e366c39dd3,"O,ti Agapas Den Telioni (Live)",2015-11-23,30,https://i.scdn.co/image/ab67616d00001e021e4522067e1b7a2c6f16b7eb,https://open.spotify.com/album/6m0NX1NjMiwOsqN9TdSAfW,Miltos Pashalidis,https://open.spotify.com/artist/6VzFvK9yRRZkT0L8kMmOXV
Burn - Remastered 2004,2019-04-14T12:44:15Z,6:04,58,1,https://open.spotify.com/track/1iW2ktyrQHNKZwFTvgP0Ta,https://p.scdn.co/mp3-preview/8a2fed0a8de2ef15334711f6cf13c0219e641b5f?cid=2490920ce5574a1a9b97a3e366c39dd3,Burn (30th Anniversary Edition),1974-02-15,13,https://i.scdn.co/image/ab67616d00001e02189077bdd7db03dfa349afee,https://open.spotify.com/album/3wR7UC2ij2dx0TbtiMP4J9,Deep Purple,https://open.spotify.com/artist/568ZhdwyaiCyOGJRtNYhWf
Diafanos - Live,2019-03-29T07:52:07Z,5:09,14,10,https://open.spotify.com/track/4jrXskE5JZlnsssOrHK0L4,https://p.scdn.co/mp3-preview/d31f86e5d9beadef78988e54b2cd62dfd562c52f?cid=2490920ce5574a1a9b97a3e366c39dd3,Exo (Zontani Ihografisi),2010-05-10,60,https://i.scdn.co/image/ab67616d00001e02fa2d79e0d155c8717f644e3d,https://open.spotify.com/album/0DQpzyHdGw4IS5Umt41LeY,Sokratis Malamas,https://open.spotify.com/artist/0NFb7EzMeIc7fZMsdDjlrf
Paralyzer,2018-03-25T17:36:50Z,3:28,0,1,https://open.spotify.com/track/7FyI0Eflo9aAs8h3ug46jp,,Them vs. You vs. Me,2007-01-01,11,https://i.scdn.co/image/ab67616d00001e02fcfaed92b444ed4b96775ca3,https://open.spotify.com/album/2MsQMod4KXHpPyUd68j85P,Finger Eleven,https://open.spotify.com/artist/0niJkG4tKkne3zwr7I8n9n
Roxanne - Remastered 2003,2017-08-13T17:28:27Z,3:11,2,3,https://open.spotify.com/track/3FmAUR4SPWa3P1KyDf21Fu,,Outlandos D'Amour (Remastered),1978-11-02,10,https://i.scdn.co/image/ab67616d00001e0201fc43293784fd3646ccb267,https://open.spotify.com/album/3D9JqZG5Q1ptOJr8ZQ0j7I,The Police,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE
Το γράμμα,2017-06-01T14:24:05Z,3:26,0,1,https://open.spotify.com/track/2HVnYrlysHxg79IDU0wDj3,,Salonica Rock City,2010-12-01,4,https://i.scdn.co/image/ab67616d00001e02b725e1c15eb4c4a1c6cd3f14,https://open.spotify.com/album/1Wl8HW5iRTppWaZhRrsjl5,Bad Movies,https://open.spotify.com/artist/2XDJ9HvD5UibyiMpUKA4Du
River Styx,2017-03-10T18:35:08Z,3:52,13,8,https://open.spotify.com/track/2DOXrDKesdslV4tjIJPfqV,,Beat The Devil's Tattoo,2010-03-07,15,https://i.scdn.co/image/ab67616d00001e0297c8bbea0e983e49fc7f5c33,https://open.spotify.com/album/6balOY1DvsMmjd8Ry3fmhq,Black Rebel Motorcycle Club,https://open.spotify.com/artist/1tpXaFf2F55E7kVJON4j4G
It's All Tears - Unplugged Radio Live,2016-07-05T11:54:38Z,3:47,24,6,https://open.spotify.com/track/3jbiMghpD3QcaPunxxxwyC,https://p.scdn.co/mp3-preview/aad1674c944cd6f625a58e046aff0ad326359f9e?cid=2490920ce5574a1a9b97a3e366c39dd3,Uneasy Listening Vol.1,2006-10-20,16,https://i.scdn.co/image/ab67616d00001e021493d4964d5455624e29eb90,https://open.spotify.com/album/2DrFrDcm9a9owwAZNjVClf,HIM,https://open.spotify.com/artist/74aLweE8FHHf4yN5TWv1GM
Sway,2016-07-03T10:19:10Z,3:37,0,11,https://open.spotify.com/track/6e0Guzo5qOb3VT4RZHUocv,,Get Happy,2013-09-23,16,https://i.scdn.co/image/ab67616d00001e02a5eabdf20ef06a0674641dfc,https://open.spotify.com/album/16sk4J8HnihaHRO5GafWsj,Pink Martini,https://open.spotify.com/artist/6KyUat70qaniuiZq63HzFZ
Kokkina Gialia - Live,2015-09-26T15:46:07Z,4:04,18,9,https://open.spotify.com/track/5WwxliJ5BS3lEVuAcRN6Ed,https://p.scdn.co/mp3-preview/0bde152d38a37e9534dba85dd2e9ffeabacbeeb8?cid=2490920ce5574a1a9b97a3e366c39dd3,Gia Enan Erota (Live),2008-01-01,37,https://i.scdn.co/image/ab67616d00001e02ad667d2c66a6ca65b907c2ff,https://open.spotify.com/album/66jLuOnJvdM3l9Lh16Rpz8,Stamatis Kraounakis,https://open.spotify.com/artist/4i1Ok9sZW1HyK0hQJJRKaK
Brianstorm,2015-09-04T22:39:20Z,2:52,0,1,https://open.spotify.com/track/0o3v9K11uvV9YQHfiuerB6,,Favourite Worst Nightmare,2007-04-22,12,https://i.scdn.co/image/ab67616d00001e024fc67437ec08a74270c41a18,https://open.spotify.com/album/4jKGRliQXa5VwxKOsiCbfL,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Castle in the Snow,2015-09-04T08:50:15Z,3:46,5,15,https://open.spotify.com/track/65LwqMs1Dm08UI6mADTeUz,https://p.scdn.co/mp3-preview/38d6a42a855bf822205c7e03ab3894a6d1337b53?cid=2490920ce5574a1a9b97a3e366c39dd3,"Play Your Day: En Lefko 87.7 Collection, Vol. 1",2015-06-22,27,https://i.scdn.co/image/ab67616d00001e02010b9a1b5d5b7f32c311d988,https://open.spotify.com/album/0VnxODTVmZ8ronXJuDK1N0,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Walking With A Ghost - Original Mix,2015-09-04T08:50:14Z,3:08,19,1,https://open.spotify.com/track/0jxLfBiVo51xcKxMu8oBgs,https://p.scdn.co/mp3-preview/1130018bc3493114789675d3edd916b9cebbb1ee?cid=2490920ce5574a1a9b97a3e366c39dd3,Pop Collection,2013-10-04,11,https://i.scdn.co/image/14f6c8b3b946ed46e05ca303380dbddbbb1552bd,https://open.spotify.com/album/5iFPPFakF5o6EMLIjzGPMC,Kadebostany,https://open.spotify.com/artist/3IVrpJxHeUFoYP4H6bxg57
Crazy In Love - Original Mix,2015-09-02T15:20:18Z,3:41,30,1,https://open.spotify.com/track/31vTVVAxHqfweWS7PYFOBs,https://p.scdn.co/mp3-preview/415d459b748a6b31c2ee1b5e1147e40ab3c53233?cid=2490920ce5574a1a9b97a3e366c39dd3,Crazy In Love,2014-08-21,1,https://i.scdn.co/image/0c0e6ddd4078bae7d2c2289139ec69172cc44a71,https://open.spotify.com/album/3KnY9LxQ2AF8YXPpZiYcGB,Kadebostany,https://open.spotify.com/artist/3IVrpJxHeUFoYP4H6bxg57
