name,followers,popularity,genres,image_url,external_url
The Black Keys,3310844.0,75.0,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",https://i.scdn.co/image/11e05be425a0a64fa65db3deb6f4e2d12f8c04d4,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Arctic Monkeys,9809259.0,86.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Red Hot Chili Peppers,14474420.0,86.0,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",https://i.scdn.co/image/7251ac7f3c0262cfcfad32e214deda639a2b4b46,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
Muse,6035294.0,80.0,"['modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/17f00ec7613d733f2dd88de8f2c1628ea5f9adde,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI
Alkistis Protopsalti,33056.0,43.0,"['entehno', 'greek indie', 'greek pop', 'laiko']",https://i.scdn.co/image/79952a92f960d702e3514bf0c1c6e706c556d71a,https://open.spotify.com/artist/514w90CKIw9w84Zh3NSNyA
Buena Vista Social Club,811821.0,67.0,"['latin jazz', 'musica tradicional cubana', 'world']",https://i.scdn.co/image/9542d171203522de67c83f0deaf855519b3c4438,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Placebo,1305283.0,70.0,"['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/3b0a2fa5a39b6b08dc9aac023364e5ddd5064392,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
Vasilis Papakonstadinou,34898.0,44.0,"['classic greek rock', 'entehno', 'laiko']",https://i.scdn.co/image/ab67616d00001e025c43a81f899b73aeaa51a83d,https://open.spotify.com/artist/6QO0eQd1MX0UrX582zWYcN
Tripes,22951.0,38.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e020e62fe643d0e7ce9206e860f,https://open.spotify.com/artist/0j26rQ1q8emYPBLonXtEJ9
Kasabian,1425311.0,68.0,"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'rock']",https://i.scdn.co/image/0819d4451bf042bc0949e3a04216c7ddf11047b2,https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue
Foo Fighters,8020257.0,81.0,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",https://i.scdn.co/image/c508060cb93f3d2f43ad0dc38602eebcbe39d16d,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD
James,354077.0,63.0,"['britpop', 'dance rock', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",https://i.scdn.co/image/592883783934df7e17399385037d8b95465bec45,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
Radiohead,5541724.0,81.0,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",https://i.scdn.co/image/563754af10b3d9f9f62a3458e699f58c4a02870f,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
Coldplay,27405498.0,89.0,"['permanent wave', 'pop']",https://i.scdn.co/image/6397b6a29c8d9081412e09feb53600f8c9a18313,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
Xilina Spathia,21143.0,38.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e02785a6af2da9b8d96ac4dde0e,https://open.spotify.com/artist/2zsxq4xTSDddUsmf1GT6Wt
U2,7373987.0,82.0,"['irish rock', 'permanent wave', 'rock']",https://i.scdn.co/image/40d6c5c14355cfc127b70da221233315497ec91d,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ
Mple,5699.0,33.0,"['classic greek rock', 'greek indie', 'greek rock']",https://i.scdn.co/image/fad77f386374b323297c75e0889910ecac00bffb,https://open.spotify.com/artist/36xaCgECAQrxEITkq66NWK
Sokratis Malamas,38113.0,47.0,"['classic greek pop', 'entehno', 'greek pop', 'laiko']",https://i.scdn.co/image/ab67616d00001e02cdd05f7cda6a2c46002c1077,https://open.spotify.com/artist/0NFb7EzMeIc7fZMsdDjlrf
R.E.M.,2657608.0,77.0,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']",https://i.scdn.co/image/6e34c969a4261f44186432a0a7a17980d4387777,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
Imagine Dragons,30286396.0,89.0,"['modern rock', 'pop', 'rock']",https://i.scdn.co/image/ff8d83627cb2a80d4c1fa36fd80a193ca34b7a50,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
The Prodigy,1786927.0,70.0,"['big beat', 'breakbeat', 'hardcore techno', 'rave']",https://i.scdn.co/image/e163b18fca2d8f4dcb2086bcea8877543b92fe47,https://open.spotify.com/artist/4k1ELeJKT1ISyDv8JivPpB
Panagiotis Margaris,269.0,23.0,['greek guitar'],https://i.scdn.co/image/ab67616d00001e020f08d23fc8a885184fc801fe,https://open.spotify.com/artist/2UUloMjgTaoxRyWKK9mK0f
