name,followers,popularity,genres,image_url,external_url
Buena Vista Social Club,811821,67,"['latin jazz', 'musica tradicional cubana', 'world']",https://i.scdn.co/image/9542d171203522de67c83f0deaf855519b3c4438,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Panos Mouzourakis,31442,46,"['entehno', 'greek pop', 'greek swing']",https://i.scdn.co/image/8c232069b7f74e8f30f9df373577b93dabf81622,https://open.spotify.com/artist/7byYRTzcmi0J2EnoVgvNyt
Apurimac,799,24,"['greek swing', 'musica andina']",https://i.scdn.co/image/ab67616d00001e02455cca9c9bb9edda02760e80,https://open.spotify.com/artist/4yRx3awKST6iw13Oy84kFi
Scott Bradlee's Postmodern Jukebox,761075,66,['swing'],https://i.scdn.co/image/8a4a8ecae9b19cbe4a8382d779d30a0bf6b0e883,https://open.spotify.com/artist/5HYNPEO2NNBONQkp3Mvwvc
Iron Maiden,5721769,77,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",https://i.scdn.co/image/a6e9ed559db89eaa89de1684eea49547128d598a,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao
Alkistis Protopsalti,33056,43,"['entehno', 'greek indie', 'greek pop', 'laiko']",https://i.scdn.co/image/79952a92f960d702e3514bf0c1c6e706c556d71a,https://open.spotify.com/artist/514w90CKIw9w84Zh3NSNyA
Tripes,22951,38,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e020e62fe643d0e7ce9206e860f,https://open.spotify.com/artist/0j26rQ1q8emYPBLonXtEJ9
James,354077,63,"['britpop', 'dance rock', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",https://i.scdn.co/image/592883783934df7e17399385037d8b95465bec45,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
Red Hot Chili Peppers,14474420,86,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",https://i.scdn.co/image/7251ac7f3c0262cfcfad32e214deda639a2b4b46,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
R.E.M.,2657608,77,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']",https://i.scdn.co/image/6e34c969a4261f44186432a0a7a17980d4387777,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
The Black Keys,3310844,75,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",https://i.scdn.co/image/11e05be425a0a64fa65db3deb6f4e2d12f8c04d4,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Ruben Gonzalez,37968,52,"['jazz cubano', 'latin jazz', 'musica tradicional cubana']",https://i.scdn.co/image/15ac4d2b13266d45037285e85c9fbee2a9a6bac6,https://open.spotify.com/artist/00n4Vljc6N9pvJ26SKPphh
The Cure,2796479,78,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']",https://i.scdn.co/image/2cb2e14783685fd3d27006891aaaa35fc53cd82d,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s
Sokratis Malamas,38113,47,"['classic greek pop', 'entehno', 'greek pop', 'laiko']",https://i.scdn.co/image/ab67616d00001e02cdd05f7cda6a2c46002c1077,https://open.spotify.com/artist/0NFb7EzMeIc7fZMsdDjlrf
Xilina Spathia,21143,38,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e02785a6af2da9b8d96ac4dde0e,https://open.spotify.com/artist/2zsxq4xTSDddUsmf1GT6Wt
U2,7373987,82,"['irish rock', 'permanent wave', 'rock']",https://i.scdn.co/image/40d6c5c14355cfc127b70da221233315497ec91d,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ
Muse,6035294,80,"['modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/17f00ec7613d733f2dd88de8f2c1628ea5f9adde,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI
Tony Succar,31536,49,"['modern salsa', 'salsa peruana']",https://i.scdn.co/image/86e61b96dce4fffb9bc78c1bc3857e9b5c07aaab,https://open.spotify.com/artist/17S2mEKDY4xHBWCy9kAPzk
Omara Portuondo,81536,58,"['bolero', 'bolero cubano', 'latin jazz', 'musica tradicional cubana']",https://i.scdn.co/image/289ddf6ce27e1c2b7d35dbc61fa293bb3cbef9a8,https://open.spotify.com/artist/1h4iSQAKdvAAm07l6FX6dy
The Doors,5292729,77,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",https://i.scdn.co/image/fdca4a508d930f9add0c73c33883a691cc3d8eaa,https://open.spotify.com/artist/22WZ7M8sxp5THdruNY3gXt
Ibrahim Ferrer,98403,54,"['bolero', 'cuban rumba', 'latin jazz', 'musica tradicional cubana', 'world']",https://i.scdn.co/image/ab67616d00001e0216b23f6de3c050377ad5a7c6,https://open.spotify.com/artist/5dss7E1Ph0KxuF1ULfAx4D
Lakis Papadopoulos,4797,33,['classic greek rock'],https://i.scdn.co/image/1ee63a9482482524528b2c96ea7bf5eb5f6dd52e,https://open.spotify.com/artist/1vhL7DQsMAxapgKbSJEYJM
Mple,5699,33,"['classic greek rock', 'greek indie', 'greek rock']",https://i.scdn.co/image/fad77f386374b323297c75e0889910ecac00bffb,https://open.spotify.com/artist/36xaCgECAQrxEITkq66NWK
Haris Alexiou,59581,52,"['entehno', 'laiko']",https://i.scdn.co/image/920dda359f0f6457a5a3df4e2f1c6afabf5e4003,https://open.spotify.com/artist/4cgCxnsmy9kDcl3oA2BYRY
Deep Purple,3454102,72,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",https://i.scdn.co/image/ca83593d28fb361d10519fbb60f62d923f3381be,https://open.spotify.com/artist/568ZhdwyaiCyOGJRtNYhWf
Arleta,12881,39,"['classic greek pop', 'classic greek rock', 'entehno', 'greek indie', 'laiko', 'neo kyma']",https://i.scdn.co/image/ab67616d00001e02af5c30bda4f03277b56d38f8,https://open.spotify.com/artist/6KVMKVZCXarNNhwKxhjCmo
Placebo,1305283,70,"['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/3b0a2fa5a39b6b08dc9aac023364e5ddd5064392,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
Foo Fighters,8020257,81,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",https://i.scdn.co/image/c508060cb93f3d2f43ad0dc38602eebcbe39d16d,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD
Bon Jovi,8361991,82,"['glam metal', 'rock']",https://i.scdn.co/image/0f8139bf1b88a2c9ee861c28f957025c2570995a,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp
Thanasis Papakonstantinou,22584,39,['entehno'],https://i.scdn.co/image/ab67616d00001e023cba31af1fd47e7c504f3eda,https://open.spotify.com/artist/32iu6edxEe5fMPX029eAU3
Coldplay,27405498,89,"['permanent wave', 'pop']",https://i.scdn.co/image/6397b6a29c8d9081412e09feb53600f8c9a18313,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
Depeche Mode,3381118,77,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",https://i.scdn.co/image/ce06360d3762def7812fc5137e4e79c1467858bc,https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX
