song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Where Is My Mind,2:45,60.0,1.0,https://open.spotify.com/track/4jNQkWhuzqrbqQuqanFFJ6,https://p.scdn.co/mp3-preview/79dc296591fe2a2b6fa0a59fe03c8f5ce5c55538?cid=2490920ce5574a1a9b97a3e366c39dd3,Novö Piano,2010-04-12,10.0,https://i.scdn.co/image/ab67616d00001e02142b21bd73f912e8dfd72ade,https://open.spotify.com/album/21wMUhXhWLew2zsWQhlYEM,Maxence Cyrin,https://open.spotify.com/artist/3NcPjvA2rp9FPj1JBAXwOS
Little Black Submarines - Radio Edit [radio edit],3:24,45.0,1.0,https://open.spotify.com/track/17609ifVvJ7Npd8IqVnRFc,https://p.scdn.co/mp3-preview/0ad91550c2b07e09b0bdae627600384d4859a68b?cid=2490920ce5574a1a9b97a3e366c39dd3,Little Black Submarines,2012-09-03,2.0,https://i.scdn.co/image/ab67616d00001e02cceab8e803a83aef28b1f3fb,https://open.spotify.com/album/7x7oLEHfjiYLzLHS93G1lr,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Gold on the Ceiling,3:44,45.0,1.0,https://open.spotify.com/track/46iI0binWzpkEJgIWTYUBR,https://p.scdn.co/mp3-preview/ff2b18fdee4aa8f3945a03b6adcb2b67e04b9448?cid=2490920ce5574a1a9b97a3e366c39dd3,Gold on the Ceiling,2012-01-24,1.0,https://i.scdn.co/image/ab67616d00001e0240b8ad008e62f33630521eae,https://open.spotify.com/album/4wLY5WOlblr9hgTSNQuf5M,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
O Paradisos,3:33,4.0,5.0,https://open.spotify.com/track/4gUZ44BvTmYRQw0qUg21Wu,https://p.scdn.co/mp3-preview/bf375285bb36550f03d12228fee146c1050b24d7?cid=2490920ce5574a1a9b97a3e366c39dd3,Act Up,2008-12-01,10.0,https://i.scdn.co/image/ab67616d00001e029d8da5bea26d8d3a756de13d,https://open.spotify.com/album/12eYz9o8XHauIQ5Nz3BEPy,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Lonely Boy,3:13,60.0,1.0,https://open.spotify.com/track/3dOAXUx7I1qnzWzxdnsyB8,https://p.scdn.co/mp3-preview/6b462b2d89ed30b669470c39c65b0f04d6ac740b?cid=2490920ce5574a1a9b97a3e366c39dd3,Lonely Boy,2011-10-26,1.0,https://i.scdn.co/image/ab67616d00001e02072a173e9323f3bdf1d254d6,https://open.spotify.com/album/2uGi7bQZU5My0k1UGJQRz2,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
R U Mine?,3:21,0.0,2.0,https://open.spotify.com/track/2LlvrdnLa3XbB1b4jYuCnl,,AM,2013-09-09,12.0,https://i.scdn.co/image/ab67616d00001e024f669de38690faf2cf88c245,https://open.spotify.com/album/5bU1XKYxHhEwukllT20xtk,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Billie Jean,4:41,0.0,8.0,https://open.spotify.com/track/5le0k7yvbMCHH2Xa1tEpAL,,Carry On (International Version),2007-01-01,15.0,https://i.scdn.co/image/ab67616d00001e024240287d373b2a2c8c54672b,https://open.spotify.com/album/7sxKTBQ32NQxpdbYecBmU0,Chris Cornell,https://open.spotify.com/artist/0XHiH53dHrvbwfjYM7en7I
All of This and Nothing,4:17,42.0,4.0,https://open.spotify.com/track/2QAczlrxfr7Wx19vhWoBsQ,https://p.scdn.co/mp3-preview/6752c509b063596cad97ba90c40f0f701c99ad78?cid=2490920ce5574a1a9b97a3e366c39dd3,Angels & Ghosts,2015-10-23,9.0,https://i.scdn.co/image/ab67616d00001e02fa4c33f6f750f93b7e6d7fa8,https://open.spotify.com/album/6ktDFJ9gHrd4Y5oScUHxtx,Dave Gahan,https://open.spotify.com/artist/7hKXTmrq3ZppBx881yBbOr
La Última Noche,4:02,36.0,1.0,https://open.spotify.com/track/4M1sjlIBYj9c8zJuBQ5xCX,https://p.scdn.co/mp3-preview/29547bd99c9559c5b2aae4b136e8a188a6c2e6b2?cid=2490920ce5574a1a9b97a3e366c39dd3,"Experiencias, Vol. 2",2018-02-16,3.0,https://i.scdn.co/image/ab67616d00001e02dcb7f8796e2c8f8aac53b5e2,https://open.spotify.com/album/2G3kRzZYzArppdK1HgYuP5,Dani J,https://open.spotify.com/artist/3TEhIeweC59okLmqFu6LWv
Hartino Tsirko,4:51,0.0,4.0,https://open.spotify.com/track/1k6GcTrjm8MMFPXk5RVWMe,,Ena Taxidi Pou Pote Den Telioni 1985 - 2000,2002-01-01,54.0,https://i.scdn.co/image/ab67616d00001e02e9a37b65764d463f43c6b0b8,https://open.spotify.com/album/4dusmCYjqF0jb4Ny8u7l8W,Tripes,https://open.spotify.com/artist/0j26rQ1q8emYPBLonXtEJ9
Do I Wanna Know?,4:32,0.0,1.0,https://open.spotify.com/track/3jfr0TF6DQcOLat8gGn7E2,,AM,2013-09-09,12.0,https://i.scdn.co/image/ab67616d00001e024f669de38690faf2cf88c245,https://open.spotify.com/album/5bU1XKYxHhEwukllT20xtk,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Where Is My Mind? - XFM Live Version,3:44,54.0,2.0,https://open.spotify.com/track/3fR6HdcPn0VHjMBnbGvCQc,https://p.scdn.co/mp3-preview/e7b66b59aceb34188ae0d90cb3d33bbea174fff8?cid=2490920ce5574a1a9b97a3e366c39dd3,Covers,2003-03-24,10.0,https://i.scdn.co/image/ab67616d00001e025574c157ee6da19c3d2fbd16,https://open.spotify.com/album/42LvsxgKnHYVu7PQRXmURw,Placebo,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
Lose Your Soul,4:35,0.0,9.0,https://open.spotify.com/track/7s8eHJ7vbhc2d9q0UNhU3O,,Dead Man's Bones,2009-10-02,12.0,https://i.scdn.co/image/ab67616d00001e026da533fc5e1d9761a2d3beba,https://open.spotify.com/album/49utCA26yGI308xWodqm9x,Dead Man's Bones,https://open.spotify.com/artist/66uU7VPJQ8eC06LAZyqYYk
Fever,4:06,54.0,1.0,https://open.spotify.com/track/4MzGM692jKGkNSQ7qzeTaJ,https://p.scdn.co/mp3-preview/967c11c4564d1ceab9802463f9e81ccf4eff2e8d?cid=2490920ce5574a1a9b97a3e366c39dd3,Fever,2014-03-24,1.0,https://i.scdn.co/image/ab67616d00001e02907b38a51c7e04ebd44497d6,https://open.spotify.com/album/1zhu7OpZFp2wJrPbyQHA37,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Too Afraid To Love,3:24,13.0,8.0,https://open.spotify.com/track/6qCCa5sbw39PdEU5GXixnb,,Brothers (Deluxe Edition),2010-10-18,21.0,https://i.scdn.co/image/ab67616d00001e028f5567f5c20e8d5882c37afa,https://open.spotify.com/album/0gVxPZ2tcMgyzLxyw8k1z7,The Black Keys,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Should Be Loved,4:01,25.0,6.0,https://open.spotify.com/track/1acMrLuJSO9TKBdrT05s53,https://p.scdn.co/mp3-preview/f5fa29485e911736b735c678bab16f07a8b26d0e?cid=2490920ce5574a1a9b97a3e366c39dd3,Approaching Normal (Explicit Version),2009-01-01,12.0,https://i.scdn.co/image/ab67616d00001e020bd15284a5bc1ba024079d7b,https://open.spotify.com/album/5S5B1ngHw3IUsm1dLKpMHl,Blue October,https://open.spotify.com/artist/1TJbmc7jTpw78GKCiMpvDh
O Vasilias Tis Skonis,3:37,38.0,4.0,https://open.spotify.com/track/0C5vTcbzsqYbg9AyOWUZUN,https://p.scdn.co/mp3-preview/d85691487b2ad6df7331d146215299b18394c4f7?cid=2490920ce5574a1a9b97a3e366c39dd3,Ta Xilina Spathia (Songs from the 1st Album),2013-09-16,10.0,https://i.scdn.co/image/ab67616d00001e02ec3b3c50192ce7ddd70485e4,https://open.spotify.com/album/2IP1a9OIR2Ad2Y1eIWTMUV,Xilina Spathia,https://open.spotify.com/artist/2zsxq4xTSDddUsmf1GT6Wt
