song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Eso Se Baila Así,5:17,18.0,9.0,https://open.spotify.com/track/4nz9Dw8aATGx5g85TyPbIX,https://p.scdn.co/mp3-preview/4dfb9c9f9417f113848d18921a8b7a0ad06bdfa6?cid=2490920ce5574a1a9b97a3e366c39dd3,Crime Pays,1972-01-01,9.0,https://i.scdn.co/image/ab67616d00001e02ebf2028acd755c32ce14c73f,https://open.spotify.com/album/31FDxX16G7sPB3p5bNhf8K,Willie Colón,https://open.spotify.com/artist/7x5Slu7yTE5icZjNsc3OzW
"Fear of the Dark - Live At Estadio Nacional, Santiago",7:30,38.0,4.0,https://open.spotify.com/track/0ngIxwZOUXR6uY5I6Uhy9u,https://p.scdn.co/mp3-preview/d349ee401883e4e26e2c0be9a697e5ab9be762d6?cid=2490920ce5574a1a9b97a3e366c39dd3,En Vivo!,2012-03-26,17.0,https://i.scdn.co/image/ab67616d00001e02d369a33bc5a2767480db8859,https://open.spotify.com/album/3LymDdEISKszJqeN2z9DBI,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao
Iris - Live,6:16,46.0,19.0,https://open.spotify.com/track/46uAPYj07jhrHt0ggMiwtA,https://p.scdn.co/mp3-preview/978f9c36e5dc39382db2a58de15cc4ee5001fa62?cid=2490920ce5574a1a9b97a3e366c39dd3,"Live in Buffalo July 4th, 2004",2004-11-23,20.0,https://i.scdn.co/image/ab67616d00001e021853fac9a1eae995032ea2a5,https://open.spotify.com/album/0nshkyiazdyELKNJuNldoa,The Goo Goo Dolls,https://open.spotify.com/artist/2sil8z5kiy4r76CRTXxBCA
Bruca Maniguá (feat. Ibrahim Ferrer) - Live,5:15,40.0,1.0,https://open.spotify.com/track/2x6pYkxhSjRqtyNMhnGdwr,https://p.scdn.co/mp3-preview/91d0cb257b8ffb0a003c92f6ef3e83eef9b99b9b?cid=2490920ce5574a1a9b97a3e366c39dd3,Lost and Found,2015-03-23,14.0,https://i.scdn.co/image/ab67616d00001e025c69aaf3bdf398c83529cc62,https://open.spotify.com/album/3y7CeywdF5PUHpDJriC9tC,Buena Vista Social Club,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Cannabis,4:25,46.0,8.0,https://open.spotify.com/track/3pKEYZcL428BwPWiP2udxz,https://p.scdn.co/mp3-preview/19d8383b091dbff88122f225ec19c9c67f059b4c?cid=2490920ce5574a1a9b97a3e366c39dd3,El Vals Del Obrero,1997-01-27,12.0,https://i.scdn.co/image/ab67616d00001e02e0b63c7689320145d3a8b875,https://open.spotify.com/album/3RDhOpQknjJcp0D9kZ7E6V,Ska-P,https://open.spotify.com/artist/2fiiGUBgPsIKDCE0bTthnl
Psihi Mou Latina,4:07,3.0,12.0,https://open.spotify.com/track/2jkge681kTJWC8ObnQXIpS,https://p.scdn.co/mp3-preview/89b55cc4a7a7965430259c0ea7c389eabd3b5925?cid=2490920ce5574a1a9b97a3e366c39dd3,Parathyra Anoichta,2009-06-09,18.0,https://i.scdn.co/image/ab67616d00001e0268812ed83a519da0fa569b0f,https://open.spotify.com/album/4vjHh9IRXtEWG0KwjdEtvE,Apurimac,https://open.spotify.com/artist/4yRx3awKST6iw13Oy84kFi
Tiene Sabor (feat. Omara Portuondo),3:17,53.0,3.0,https://open.spotify.com/track/659r0xM5pXvb5sUQG3Yl28,https://p.scdn.co/mp3-preview/e8a9939e5ddaa68b5a9a969583fffe38fe45fbd6?cid=2490920ce5574a1a9b97a3e366c39dd3,Lost and Found,2015-03-23,14.0,https://i.scdn.co/image/ab67616d00001e025c69aaf3bdf398c83529cc62,https://open.spotify.com/album/3y7CeywdF5PUHpDJriC9tC,Buena Vista Social Club,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
El Cuarto de Tula,7:24,62.0,3.0,https://open.spotify.com/track/7dRfobhDNnsEgB2ZArxA1f,https://p.scdn.co/mp3-preview/f465b8bc423a4148712bdc083f2a2e57b4bb37f7?cid=2490920ce5574a1a9b97a3e366c39dd3,Buena Vista Social Club,1997-06-23,14.0,https://i.scdn.co/image/ab67616d00001e022a896bf89ee1e87f1a774cb6,https://open.spotify.com/album/6DPdEaZ0KDBCCgXyy4q8bi,Buena Vista Social Club,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Den Prolavaino,3:11,15.0,5.0,https://open.spotify.com/track/7GQF4b6518lkjVmM0OZ1on,https://p.scdn.co/mp3-preview/5ee075889a2fed0ffc0a6657b46e279c8c861226?cid=2490920ce5574a1a9b97a3e366c39dd3,Parathyra Anoichta,2009-06-09,18.0,https://i.scdn.co/image/ab67616d00001e0268812ed83a519da0fa569b0f,https://open.spotify.com/album/4vjHh9IRXtEWG0KwjdEtvE,Apurimac,https://open.spotify.com/artist/4yRx3awKST6iw13Oy84kFi
Vem meu amor,2:36,45.0,6.0,https://open.spotify.com/track/6Vi3zrYtd2n53YUiYLTnNC,https://p.scdn.co/mp3-preview/699af5f17dcee8140761e07276131d1a5c70a4fc?cid=2490920ce5574a1a9b97a3e366c39dd3,A Música do Olodum,1992,12.0,https://i.scdn.co/image/ab67616d00001e02286a1a2e0d44ac6fdf749af0,https://open.spotify.com/album/7lFxuWjTe0JxXka9tjzGXm,Olodum,https://open.spotify.com/artist/3tJ9PkBOrG7hFkHeNM2tbw
