song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Getting Away With It (All Messed Up),4:25,59,12,https://open.spotify.com/track/1oZYaztSjkVQ7PeKwUbdab,https://p.scdn.co/mp3-preview/ab28c19a64d3e73f97573bdb4157c11ec6eb1a92?cid=2490920ce5574a1a9b97a3e366c39dd3,Pleased To Meet You,2001-01-01,13,https://i.scdn.co/image/ab67616d00001e021ba99b34edfc33fb4a9ea5a1,https://open.spotify.com/album/31Rh6Ab8xC49fWjFcuyXAK,James,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
Losing My Religion,4:28,81,2,https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,https://p.scdn.co/mp3-preview/ea84794d28445beca6ae2be333a6a4eeb258e245?cid=2490920ce5574a1a9b97a3e366c39dd3,Out Of Time (25th Anniversary Edition),1991-03-12,30,https://i.scdn.co/image/ab67616d00001e02e2dd4e821bcc3f70dc0c8ffd,https://open.spotify.com/album/6yEuIwTQpciH1qtj7mP5GK,R.E.M.,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
Californication,5:29,62,6,https://open.spotify.com/track/34KTEhpPjq6IAgQg2yzJAL,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=2490920ce5574a1a9b97a3e366c39dd3,Californication,1999-06-08,15,https://i.scdn.co/image/ab67616d00001e02a9249ebb15ca7a5b75f16a90,https://open.spotify.com/album/0fLhefnjlIV3pGNF9Wo8CD,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
Sultans Of Swing,5:48,79,6,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj,https://p.scdn.co/mp3-preview/a00a90236f87d059c5a9ff481680a29f7a60e8bb?cid=2490920ce5574a1a9b97a3e366c39dd3,Dire Straits,1978-10-07,9,https://i.scdn.co/image/ab67616d00001e029dfee5404d5e0763998c958e,https://open.spotify.com/album/2rCS6Xwx32V27pvgFzLzlT,Dire Straits,https://open.spotify.com/artist/0WwSkZ7LtFUFjGjMZBMt6T
Fovame,3:40,31,2,https://open.spotify.com/track/3qUi1g1pLuu1qFcGYI6C5l,https://p.scdn.co/mp3-preview/2e0c5464bc4e1f67ff3b0eb07a39afd188369e7d?cid=2490920ce5574a1a9b97a3e366c39dd3,Enohes,1996-01-15,10,https://i.scdn.co/image/ab67616d00001e02168d59dc9f021c656582e872,https://open.spotify.com/album/4c1duNjW8xMQgSwoyJUXgp,Mple,https://open.spotify.com/artist/36xaCgECAQrxEITkq66NWK
Somebody That I Used to Know,4:08,39,1,https://open.spotify.com/track/0VVMuMXtkASPWfAWyW2KPH,https://p.scdn.co/mp3-preview/3e009d105352e4c3be2542be18607d5d35f064f8?cid=2490920ce5574a1a9b97a3e366c39dd3,Somebody That I Used to Know,2012-02-06,1,https://i.scdn.co/image/ab67616d00001e02da8e0139503142b928047960,https://open.spotify.com/album/0GWTG6VaelLgQEKnMgdM28,Walk Off the Earth,https://open.spotify.com/artist/6jEiUoyyJNPHzSR0Nib6HX
I'm Not the Man I Used to Be,4:18,47,3,https://open.spotify.com/track/0ce4Ru8pHOZKijojglD4JS,https://p.scdn.co/mp3-preview/9046a64436d07564183b77a8304646065bef0d98?cid=2490920ce5574a1a9b97a3e366c39dd3,The Raw & The Cooked,1988-01-01,10,https://i.scdn.co/image/ab67616d00001e02c573a4a852f010523c4ba383,https://open.spotify.com/album/6CoeDRu0SmpFtLZMcRTO2F,Fine Young Cannibals,https://open.spotify.com/artist/20p5D2KrE8CGuOjHtxsyTp
The Passenger,4:43,73,4,https://open.spotify.com/track/15BQ7vEDv2LJuh8TxWIhtd,https://p.scdn.co/mp3-preview/99063cee3a20823a55d03627e1b3d5b835c38c2f?cid=2490920ce5574a1a9b97a3e366c39dd3,Lust For Life,1977-08-29,9,https://i.scdn.co/image/ab67616d00001e024aa5f679427e35409a06f225,https://open.spotify.com/album/2jnV6ytZOmt71iEC5xHEYz,Iggy Pop,https://open.spotify.com/artist/33EUXrFKGjpUSGacqEHhU4
Between Something and Nothing,4:02,40,1,https://open.spotify.com/track/1Nm7gI6fbdeUMWSA1YSpEk,https://p.scdn.co/mp3-preview/68d686caa20a619a94cdd224e735130c884153e3?cid=2490920ce5574a1a9b97a3e366c39dd3,The Ocean Blue,1989-07-21,12,https://i.scdn.co/image/ab67616d00001e0218fbfa31beeef5cf912f82ce,https://open.spotify.com/album/6jxqTcePlQDTeSzeYkLV2T,The Ocean Blue,https://open.spotify.com/artist/4v9TwSGVrHPLX0APn1z0XU
Lust For Life,5:13,68,1,https://open.spotify.com/track/21YxK0klhpfLW8budkJaMF,https://p.scdn.co/mp3-preview/c978684899d37ea38f1a4b857113dc8ad1d47dea?cid=2490920ce5574a1a9b97a3e366c39dd3,Lust For Life,1977-08-29,9,https://i.scdn.co/image/ab67616d00001e024aa5f679427e35409a06f225,https://open.spotify.com/album/2jnV6ytZOmt71iEC5xHEYz,Iggy Pop,https://open.spotify.com/artist/33EUXrFKGjpUSGacqEHhU4
Waterfall,5:10,30,3,https://open.spotify.com/track/28QpyOOUZMGTLPrDhitNhC,https://p.scdn.co/mp3-preview/bbb1936b485f8ecb40cd9e130afc1859e6335621?cid=2490920ce5574a1a9b97a3e366c39dd3,Hey Ma (eDeluxe),2008-01-01,13,https://i.scdn.co/image/ab67616d00001e02ed42b7fc228b1624b7a57a43,https://open.spotify.com/album/6lnJykVIHTLDo325gqgaFU,James,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
Razzamatazz,3:40,35,2,https://open.spotify.com/track/2FG2T9q4chMeIxmy7O7jyj,https://p.scdn.co/mp3-preview/f0e61578d1e98373134007e4873974d7e04da28c?cid=2490920ce5574a1a9b97a3e366c39dd3,Hits,2002-01-01,16,https://i.scdn.co/image/ab67616d00001e022325bc1a21f28e580451a842,https://open.spotify.com/album/67obfCTu6fiCBaraaWnFvp,Pulp,https://open.spotify.com/artist/36E7oYfz3LLRto6l2WmDcD
Zombie,5:06,80,4,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF,https://p.scdn.co/mp3-preview/e6a1269cf69ed57622e6c6891e442de3534cd5a8?cid=2490920ce5574a1a9b97a3e366c39dd3,No Need To Argue,1994-10-03,13,https://i.scdn.co/image/ab67616d00001e02e2213d84fabb15100c425198,https://open.spotify.com/album/5GugLrmYMl5VRoe2zNgLGp,The Cranberries,https://open.spotify.com/artist/7t0rwkOPGlDPEhaOcVtOt9
Love Will Tear Us Apart,3:26,69,9,https://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf,https://p.scdn.co/mp3-preview/18a4b498250ed137d44823f2d49170be32336433?cid=2490920ce5574a1a9b97a3e366c39dd3,The Best Of,2008-03-20,14,https://i.scdn.co/image/ab67616d00001e0265792edb445d4a107dbe97fd,https://open.spotify.com/album/0p8Zy0wEzDYiFDcSt07UHe,Joy Division,https://open.spotify.com/artist/432R46LaYsJZV2Gmc4jUV5
Song 2,2:01,65,2,https://open.spotify.com/track/3GfOAdcoc3X5GPiiXmpBjK,https://p.scdn.co/mp3-preview/dfa055d3831ac3ec60cf66d92bda9ab68e302dbd?cid=2490920ce5574a1a9b97a3e366c39dd3,Blur: The Best Of,2000-10-23,18,https://i.scdn.co/image/ab67616d00001e026eba1a0996d9e69ad20ec88b,https://open.spotify.com/album/1bgkxe4t0HNeLn9rhrx79x,Blur,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS
Seven Nation Army,3:51,74,1,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,https://p.scdn.co/mp3-preview/9ca99ae29be0130196f0f2257b6d88ede85f7099?cid=2490920ce5574a1a9b97a3e366c39dd3,Elephant,2003-04-01,14,https://i.scdn.co/image/ab67616d00001e02a69f71a8794e2d867a52f98f,https://open.spotify.com/album/6D9urpsOWWKtYvF6PaorGE,The White Stripes,https://open.spotify.com/artist/4F84IBURUo98rz4r61KF70
Every You Every Me,3:33,67,8,https://open.spotify.com/track/3tRv4ZYZimrL27flnjgeR6,https://p.scdn.co/mp3-preview/a281fc491f2249d525284d1762566e27f94ae169?cid=2490920ce5574a1a9b97a3e366c39dd3,Without You I'm Nothing,1998-10-12,13,https://i.scdn.co/image/ab67616d00001e02ac68d5f575b62ee76a235396,https://open.spotify.com/album/2cDDG5rnwEgjNL8Q0cO9Zd,Placebo,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
For What It's Worth,2:47,8,4,https://open.spotify.com/track/5P4K2TgxvRH3sAof9sgIN1,https://p.scdn.co/mp3-preview/093db1df493f1383ad048c16d5b1b397542673d2?cid=2490920ce5574a1a9b97a3e366c39dd3,Battle For The Sun,2009-01-01,13,https://i.scdn.co/image/ab67616d00001e02831b5cbe736c723b1f313a0d,https://open.spotify.com/album/42KzGlkkCvv9Krf857l3FI,Placebo,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
Motorcycle Emptiness,5:05,61,2,https://open.spotify.com/track/5ibELGcXGqX5x9TWFeNPxY,https://p.scdn.co/mp3-preview/f2e37682c31f175ff1baf7ea44dd7ca036c67e46?cid=2490920ce5574a1a9b97a3e366c39dd3,Forever Delayed,2002-10-28,20,https://i.scdn.co/image/ab67616d00001e02b5f24b5004d008f05b0cb148,https://open.spotify.com/album/17n0hrkbvXosApi3q1ANiv,Manic Street Preachers,https://open.spotify.com/artist/2uH0RyPcX7fnCcT90HFDQX
Wonderwall - Remastered,4:18,78,3,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,https://p.scdn.co/mp3-preview/d012e536916c927bd6c8ced0dae75ee3b7715983?cid=2490920ce5574a1a9b97a3e366c39dd3,(What's The Story) Morning Glory? [Remastered],1995-10-02,40,https://i.scdn.co/image/ab67616d00001e0285e5dcc05cc216a10f141480,https://open.spotify.com/album/1VW1MFNstaJuygaoTPkdCk,Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4
The Pretender,4:27,56,4,https://open.spotify.com/track/6HNruFQlzQx4ulL4ppRLYI,https://p.scdn.co/mp3-preview/4b010601616c61e01d29a3730b9f7099a93eb34f?cid=2490920ce5574a1a9b97a3e366c39dd3,Greatest Hits,2009-11-03,16,https://i.scdn.co/image/ab67616d00001e02136d7250568820409f8fdd60,https://open.spotify.com/album/1zCNrbPpz5OLSr6mSpPdKm,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD
Somebody Told Me,3:17,72,4,https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v,https://p.scdn.co/mp3-preview/1ce766f9d53806719a21b0efa38cfdc0aaee991b?cid=2490920ce5574a1a9b97a3e366c39dd3,Hot Fuss,2004,12,https://i.scdn.co/image/ab67616d00001e02ccdddd46119a4ff53eaf1f5d,https://open.spotify.com/album/4piJq7R3gjUOxnYs6lDCTg,The Killers,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu
Common People,4:40,41,1,https://open.spotify.com/track/6pT57VywIGw8eyKB22Gq63,https://p.scdn.co/mp3-preview/72b525e62222c5e8ade2db9716d0e307a4efc1a3?cid=2490920ce5574a1a9b97a3e366c39dd3,William Shatner Has Been,2004,11,https://i.scdn.co/image/ab67616d00001e02f46cc9629bc96ffd5556bed3,https://open.spotify.com/album/5K6Yuzk8t9t0B9WxI7WtpT,William Shatner,https://open.spotify.com/artist/2dPqql8xbby3nWuf98mAza
Personal Jesus,3:45,56,1,https://open.spotify.com/track/72a9JWKqJ8SGo0OdyCS12P,https://p.scdn.co/mp3-preview/df030dc16fb311acaa88e319726028906b11ff2b?cid=2490920ce5574a1a9b97a3e366c39dd3,"The Best of Depeche Mode, Vol. 1 (Deluxe)",2006-11-08,23,https://i.scdn.co/image/ab67616d00001e02000bd74f7b17a4f5de3a8807,https://open.spotify.com/album/0h1RmJe86n74nWpNWWb2dj,Depeche Mode,https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX
Don't Speak,4:23,72,10,https://open.spotify.com/track/7H8zey5My6uNdD2TxeCb9F,https://p.scdn.co/mp3-preview/3a7c3123dcbdc8454977a9be7c90875bc3438569?cid=2490920ce5574a1a9b97a3e366c39dd3,Tragic Kingdom,1995-10-10,14,https://i.scdn.co/image/ab67616d00001e02ada8d00d23273a097e6df364,https://open.spotify.com/album/22MtHr01EzeL6jmc5uwpHC,No Doubt,https://open.spotify.com/artist/0cQbJU1aAzvbEmTuljWLlF
Say Something,3:26,53,5,https://open.spotify.com/track/7MMbYOpnyQU4CzPqK7Tu2x,https://p.scdn.co/mp3-preview/2f88d5f9e0810cc27c984660260a26f369594034?cid=2490920ce5574a1a9b97a3e366c39dd3,Laid,1993,17,https://i.scdn.co/image/ab67616d00001e02b67dbb84e0c1f82be886c8ea,https://open.spotify.com/album/5pALyxshOPc8LLKggzNvQe,James,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
She's A Star,3:39,21,3,https://open.spotify.com/track/7pEYwEaad8jYitkxhMoS9w,https://p.scdn.co/mp3-preview/093dc3b69ff0215458311b628d8557bbd8800c36?cid=2490920ce5574a1a9b97a3e366c39dd3,Essential Festival: James (International Version),2008-01-01,5,https://i.scdn.co/image/ab67616d00001e02bcca12391d9e15564ced4f73,https://open.spotify.com/album/1vUMPAO3MzavJMytoaBoqU,James,https://open.spotify.com/artist/0qLNsNKm8bQcMoRFkR8Hmh
Save a Prayer - 2009 Remaster,5:33,62,8,https://open.spotify.com/track/1ff8lsrJ2kuZuofMw81EQo,https://p.scdn.co/mp3-preview/7f99db59c1af2bd7f6108884c53b117ef1d5350a?cid=2490920ce5574a1a9b97a3e366c39dd3,Rio (Collector's Edition),1982-05-10,29,https://i.scdn.co/image/ab67616d00001e029977eb01e4e40c8357435ef9,https://open.spotify.com/album/02tfQwJSOLP77oCd9U8bqm,Duran Duran,https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT
Man On The Moon - Live,6:46,32,22,https://open.spotify.com/track/0D0VXSJLudzu0ZMm6NfEzC,https://p.scdn.co/mp3-preview/f5c200d31f95ffb1ff9096358d3e30daf2980457?cid=2490920ce5574a1a9b97a3e366c39dd3,R.E.M. Live,2007-01-01,22,https://i.scdn.co/image/ab67616d00001e025e9cc52668a37682faed561b,https://open.spotify.com/album/3BO3qnsrk0GfBjLO1tWJwg,R.E.M.,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
I Saved The World Today - Remastered Version,4:53,43,2,https://open.spotify.com/track/0GLXgCKh1O4YVvigbnRA5B,https://p.scdn.co/mp3-preview/7a4e3e8a3d5c51312cf0cd420838900a66b30661?cid=2490920ce5574a1a9b97a3e366c39dd3,Peace,1999-10-19,15,https://i.scdn.co/image/ab67616d00001e021953d5f790ed223752056f8b,https://open.spotify.com/album/3u6LBuJSC7bIXSI63EzHYU,Eurythmics,https://open.spotify.com/artist/0NKDgy9j66h3DLnN8qu1bB
Slippery People - Live,4:00,54,5,https://open.spotify.com/track/2WDvW3o8WeGN4v4cpsYVhT,https://p.scdn.co/mp3-preview/eca47150e9c248239dfce77dfa8437ba986c6c7d?cid=2490920ce5574a1a9b97a3e366c39dd3,Stop Making Sense,1984,16,https://i.scdn.co/image/ab67616d00001e024436f2e7c93002ad0eb9716a,https://open.spotify.com/album/4FR8Z6TvIsC56NLyNomNRE,Talking Heads,https://open.spotify.com/artist/2x9SpqnPi8rlE9pjHBwmSC
Mmm Mmm Mmm Mmm,3:55,65,3,https://open.spotify.com/track/31v2AQlx4pDI7kmnLxBkem,https://p.scdn.co/mp3-preview/5b230e95123f352c3a33b48ce6d081a185a15cad?cid=2490920ce5574a1a9b97a3e366c39dd3,God Shuffled His Feet,1993-04-05,12,https://i.scdn.co/image/ab67616d00001e02df9d39dded05faa9ed520ca6,https://open.spotify.com/album/03dlqdFWY9gwJxGl3AREVy,Crash Test Dummies,https://open.spotify.com/artist/1YEGETLT2p8k97LIo3deHL
