name,followers,popularity,genres,image_url,external_url
God Is An Astronaut,206893,50,"['cosmic post-rock', 'instrumental post-rock', 'post-rock']",https://i.scdn.co/image/8923fbaf306cb60f08b7e3e69aeecbe40cd8e648,https://api.spotify.com/v1/artists/079svMEXkbT5nGU2kfoqO2
Temperance,21430,43,"['italian folk metal', 'italian metal', 'italian power metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",https://i.scdn.co/image/aa5ca48095acc8f4eb14a71496514f618a597fce,https://api.spotify.com/v1/artists/0WHhPa7TmqQASabtpYsa5J
Hans Zimmer,2239132,80,"['german soundtrack', 'soundtrack']",https://i.scdn.co/image/635afc786816b69612cc70fd43b1f7c43b49b56b,https://api.spotify.com/v1/artists/0YC192cP3KPCRWx8zr8MfZ
Beast In Black,106136,61,"['finnish heavy metal', 'finnish metal', 'finnish power metal', 'melodic metal', 'power metal']",https://i.scdn.co/image/be5cd0ff55078d83387ef251f72c11d0884e9073,https://api.spotify.com/v1/artists/0rEuaTPLMhlViNCJrg3NEH
Shylmagoghnar,18511,34,['melodic death metal'],https://i.scdn.co/image/ab67616d00001e027581230e7e5f78fb8489ef91,https://api.spotify.com/v1/artists/0sfWl1dWLgEtMy9oFnNoDA
Turisas,148480,54,"['finnish metal', 'folk metal', 'melodic metal', 'metal', 'power metal', 'progressive metal', 'slavic folk metal', 'viking metal']",https://i.scdn.co/image/fb12f668e2295f0f3b9c644447bdc0b58f5867b4,https://api.spotify.com/v1/artists/0ykT1si9XRFPmEvWOnf4YI
Rhapsody,89839,52,"['italian power metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/d17121911da75a08f3d7ca3d4d614c08102bddbf,https://api.spotify.com/v1/artists/0zQfrabOFYf36Ikb6PXcCY
Metalite,18827,46,"['melodic metal', 'slayer', 'symphonic power metal']",https://i.scdn.co/image/fcd8c5b015ac95598a30476fa5c95c1c19e7e46f,https://api.spotify.com/v1/artists/18RXUrxy1BYOOvrW0XuFBg
E.S. Posthumus,53449,44,"['bow pop', 'epicore', 'scorecore']",https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://api.spotify.com/v1/artists/1CqW2UkLsaZvByLwkOaNsH
Stratovarius,407708,58,"['finnish metal', 'finnish power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ff46b7ae4f095874bddc7a3738c235d5a49c7596,https://api.spotify.com/v1/artists/1O8CSXsPwEqxcoBE360PPO
