name,followers,popularity,genres,image_url,external_url
HammerFall,414983.0,60.0,"['gothenburg metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'swedish power metal']",https://i.scdn.co/image/a5738859a69fa1f00368f8bee2fb2a3ac26f31f7,https://open.spotify.com/artist/2o18h28enlHxj887tATc58
Dream Theater,1082032.0,66.0,"['metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive rock', 'rock']",https://i.scdn.co/image/4dd1dfaf7eb5d9140d92ebd9e087a98513a2ce71,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
In Flames,813008.0,69.0,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']",https://i.scdn.co/image/821e74e9b668efb8a98b2866f4788ed2f4dd45a0,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Amon Amarth,718900.0,66.0,"['alternative metal', 'death metal', 'melodic death metal', 'metal', 'power metal', 'swedish death metal', 'swedish metal', 'tolkien metal', 'viking metal']",https://i.scdn.co/image/2b6e47010d6df6c550bf8f22d58fa70409f421e3,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Thomas Bergersen,168534.0,69.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/9cc2b715294ec21bebc2629a257d302b98ec9ba6,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Hans Zimmer,2239132.0,80.0,"['german soundtrack', 'soundtrack']",https://i.scdn.co/image/635afc786816b69612cc70fd43b1f7c43b49b56b,https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ
Wintersun,134359.0,45.0,"['finnish death metal', 'finnish metal', 'finnish power metal', 'folk metal', 'melodic death metal', 'metal', 'power metal', 'progressive metal', 'symphonic death metal', 'viking metal']",https://i.scdn.co/image/2609fc9a39e201a14c8fd7e12f4bfff7f59be3c1,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Nightwish,1437979.0,71.0,"['finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/fd1be3774e33bbef460f916cc13f9a31c78a4fb4,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Children Of Bodom,454954.0,60.0,"['alternative metal', 'finnish death metal', 'finnish metal', 'melodic death metal', 'metal', 'power metal', 'progressive metal']",https://i.scdn.co/image/cf38b80a87aba5e192a651376fb9b4042c0a607b,https://open.spotify.com/artist/1xUhNgw4eJDZfvumIpcz1B
Two Steps from Hell,555820.0,69.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Stratovarius,407708.0,58.0,"['finnish metal', 'finnish power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ff46b7ae4f095874bddc7a3738c235d5a49c7596,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO
FalKKonE,41672.0,56.0,"['otacore', 'scorecore']",https://i.scdn.co/image/a41d765ede2b8cf1164376a1c1245720c996d730,https://open.spotify.com/artist/4pAgH7ZVMfeEqm11iwwYjA
Howard Shore,332901.0,70.0,"['canadian classical', 'canadian soundtrack', 'middle earth', 'scorecore', 'soundtrack', 'video game music']",https://i.scdn.co/image/d3b67518f4f122b8a00e1039045a1bffdcb38e0a,https://open.spotify.com/artist/0OcclcP5o8VKH2TRqSY2A7
Beast In Black,106136.0,61.0,"['finnish heavy metal', 'finnish metal', 'finnish power metal', 'melodic metal', 'power metal']",https://i.scdn.co/image/be5cd0ff55078d83387ef251f72c11d0884e9073,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH
LEX,85478.0,52.0,['greek trap'],https://i.scdn.co/image/5f5e7bd97495cb823d4b7b6a3a9fcb0341f50b61,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
