song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Closure,6:38,10.0,5.0,https://open.spotify.com/track/1uLvPbmVQdSazw4up0j2sD,https://p.scdn.co/mp3-preview/2e84fdf8ea983f985492c94e7ad1b44b10a304ee?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Sons of Winter and Stars,13:31,42.0,2.0,https://open.spotify.com/track/6EJfuLTl01JoGXt8rtM1rd,https://p.scdn.co/mp3-preview/aa5fb6fbcb701649a5676d56a67165c63661bd94?cid=2490920ce5574a1a9b97a3e366c39dd3,Time I,2012-10-19,5.0,https://i.scdn.co/image/ab67616d00001e0278466f5ee5abbde34bd00535,https://open.spotify.com/album/0V32xSGyy0TyOzbc5ufoWX,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Paranomo,3:12,34.0,1.0,https://open.spotify.com/track/3rvWnI645ZIz2je56iXIyB,https://p.scdn.co/mp3-preview/4f42541b16b64c86430d8cf0028bae2649c16df3?cid=2490920ce5574a1a9b97a3e366c39dd3,Adyto,2019-03-13,12.0,https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/album/2ZYRap1o9GuuxOXwY1FHev,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Above the Sky,5:51,43.0,1.0,https://open.spotify.com/track/02WitL66kM2ObNDkM95rFD,https://p.scdn.co/mp3-preview/0143eb9bef4bb4b138af9989fa3375019a363e1c?cid=2490920ce5574a1a9b97a3e366c39dd3,Above the Sky,2019-06-07,12.0,https://i.scdn.co/image/ab67616d00001e02c097a06bab3b8045b498e28c,https://open.spotify.com/album/21Ddhc4WxWEWaRZbnQiOeS,Majestica,https://open.spotify.com/artist/52lkxAYfC9ypaPJ2EB22ki
Night Call Girl,4:43,40.0,6.0,https://open.spotify.com/track/32mo62HV6UnPv93OopHCxs,https://p.scdn.co/mp3-preview/dae4bab5256ffc997c927538e9d60cce8a7650ea?cid=2490920ce5574a1a9b97a3e366c39dd3,Above the Sky,2019-06-07,12.0,https://i.scdn.co/image/ab67616d00001e02c097a06bab3b8045b498e28c,https://open.spotify.com/album/21Ddhc4WxWEWaRZbnQiOeS,Majestica,https://open.spotify.com/artist/52lkxAYfC9ypaPJ2EB22ki
Silent Tears of Frozen Princess,5:34,0.0,6.0,https://open.spotify.com/track/4JjpjTQQUTqKwCKuDnYhQP,,Tales from the Kingdom of Fife,2013-03-26,11.0,https://i.scdn.co/image/ab67616d00001e024288d3bbf662df39045410cb,https://open.spotify.com/album/6V8AwmVFJLwBv0K4KYJU8C,Gloryhammer,https://open.spotify.com/artist/7dkEByOe0oHqc54qU4hwzV
The Arena,3:53,36.0,1.0,https://open.spotify.com/track/1nmaCgWSxAtNlo35OpKzW6,https://p.scdn.co/mp3-preview/3a4f2a14cd2b60ac2de3e159a63da3004fe1546c?cid=2490920ce5574a1a9b97a3e366c39dd3,The Arena,2018-04-13,1.0,https://i.scdn.co/image/ab67616d00001e02b9327fc367e7294b88577671,https://open.spotify.com/album/3O9Zy5jon3L6ARqj8za5cZ,Jason Richardson,https://open.spotify.com/artist/4fsZkYcSEUEvZK2tEjzrVY
Rivers Between Us,6:47,38.0,8.0,https://open.spotify.com/track/5D8vKv4c8AXWZpO9OSpMN5,https://p.scdn.co/mp3-preview/788df4efa069fd2476f390ee1ef2c1717f32a856?cid=2490920ce5574a1a9b97a3e366c39dd3,Sovran,2015-10-30,10.0,https://i.scdn.co/image/ab67616d00001e0286d9bcac5d2a564d87fb1f9a,https://open.spotify.com/album/3Dp4iMcoax0q70S9GJZvBv,Draconian,https://open.spotify.com/artist/1TX9g1uSl0B0DQIE9lBqmU
True Survivor,3:47,18.0,11.0,https://open.spotify.com/track/6CWnIJ2LM61ggbFEILAQ7O,https://p.scdn.co/mp3-preview/f4906b33f892a5a15a6d196e0ddd3adafd8480dd?cid=2490920ce5574a1a9b97a3e366c39dd3,Shadowplay,2015-09-25,12.0,https://i.scdn.co/image/ab67616d00001e023f6bd2caf0b74c2fa7bcebc4,https://open.spotify.com/album/5g0iPdxMTB7is4Haxv3Nrr,Dragony,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT
D.N.A. - Demon and Angel,4:19,40.0,2.0,https://open.spotify.com/track/72jGeL3qwyOrmByT0DUWdj,https://p.scdn.co/mp3-preview/9012e9f7a93f5a2011032f1d06e81198e8b728fd?cid=2490920ce5574a1a9b97a3e366c39dd3,Zero Gravity (Rebirth and Evolution),2019-06-28,11.0,https://i.scdn.co/image/ab67616d00001e026d83c8fae419b393565aa12a,https://open.spotify.com/album/5faBJYEVhlhQTR7InxnjmF,Turilli / Lione Rhapsody,https://open.spotify.com/artist/4jp6jGwANHkhNr6gbJNhiy
