song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
The Arena,3:53,36.0,1.0,https://open.spotify.com/track/1nmaCgWSxAtNlo35OpKzW6,https://p.scdn.co/mp3-preview/3a4f2a14cd2b60ac2de3e159a63da3004fe1546c?cid=2490920ce5574a1a9b97a3e366c39dd3,The Arena,2018-04-13,1.0,https://i.scdn.co/image/ab67616d00001e02b9327fc367e7294b88577671,https://open.spotify.com/album/3O9Zy5jon3L6ARqj8za5cZ,Jason Richardson,https://open.spotify.com/artist/4fsZkYcSEUEvZK2tEjzrVY
Honor Him,1:19,50.0,16.0,https://open.spotify.com/track/0p21vI2StdprWPtAGftM5c,https://p.scdn.co/mp3-preview/2f6daece6e34de8f0a9df50521282a410d17165d?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-04-25,17.0,https://i.scdn.co/image/ab67616d00001e02f3a2d7f692fcad25284c5f1e,https://open.spotify.com/album/0mN9E0N4bRBD7GKktlaRI0,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
Rivers Between Us,6:47,38.0,8.0,https://open.spotify.com/track/5D8vKv4c8AXWZpO9OSpMN5,https://p.scdn.co/mp3-preview/788df4efa069fd2476f390ee1ef2c1717f32a856?cid=2490920ce5574a1a9b97a3e366c39dd3,Sovran,2015-10-30,10.0,https://i.scdn.co/image/ab67616d00001e0286d9bcac5d2a564d87fb1f9a,https://open.spotify.com/album/3Dp4iMcoax0q70S9GJZvBv,Draconian,https://open.spotify.com/artist/1TX9g1uSl0B0DQIE9lBqmU
Twilight Of The Thunder God,4:08,64.0,1.0,https://open.spotify.com/track/5u3l2TONYacJgmRPQVaF9y,https://p.scdn.co/mp3-preview/9e7ec9ec1ff9939bcc4bee396b286625c1193acf?cid=2490920ce5574a1a9b97a3e366c39dd3,Twilight Of The Thunder God,2008-09-30,10.0,https://i.scdn.co/image/ab67616d00001e029203fd1f5c23f0ad92ce63fa,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Earth,3:01,43.0,4.0,https://open.spotify.com/track/1eRuo0cdRSqJClg7G6ZjdT,https://p.scdn.co/mp3-preview/fd4c0e19730cc4a67bfb06f2b089ca0e4424f75a?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-01-01,35.0,https://i.scdn.co/image/ab67616d00001e025e26ee959941f78ce85ac080,https://open.spotify.com/album/1yqkE2BoMZaQRABJRJT2HZ,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
La Venus - Acoustic Version,4:40,29.0,1.0,https://open.spotify.com/track/1W44nFtYiD7WLRPUT2QNvj,https://p.scdn.co/mp3-preview/751c0114bf829f5cf626f7ec46b9d0ce0ee0c509?cid=2490920ce5574a1a9b97a3e366c39dd3,We Are X Soundtrack,2017-03-03,14.0,https://i.scdn.co/image/ab67616d00001e0252ca83183259884818af579c,https://open.spotify.com/album/1WRUpGFTIuhkpvmAABjjzI,X JAPAN,https://open.spotify.com/artist/4VrqQQy6X0hlMtqY5gp6Wx
The Pursuit Of Vikings,4:30,57.0,4.0,https://open.spotify.com/track/0sObxZUKqdPfgjG9ahSlP5,https://p.scdn.co/mp3-preview/2cec7937dd721879d795ade19fe818236cbcee96?cid=2490920ce5574a1a9b97a3e366c39dd3,Fate of Norns,2004,8.0,https://i.scdn.co/image/ab67616d00001e0295e7594a7df822c720d45867,https://open.spotify.com/album/6eQNR9fAkQUFiIwJOVLt8N,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Scene Eight: The Spirit Carries On,6:38,54.0,11.0,https://open.spotify.com/track/7ycz6sgZWp4wvF53BZVTjE,https://p.scdn.co/mp3-preview/9f1d6e71c04eb70a7a93c7ad09ec3b9671225b9d?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Iridium,4:08,46.0,5.0,https://open.spotify.com/track/648jNGxqGVBFfFSSWishhd,https://p.scdn.co/mp3-preview/d452710f3b3bb889acf6a6041e0acb923a80525c?cid=2490920ce5574a1a9b97a3e366c39dd3,Another Way to Fly,2018-05-18,14.0,https://i.scdn.co/image/ab67616d00001e0217a9dff5f3483fa93d29d157,https://open.spotify.com/album/4ZjjhtQ0Imig6sdp3uQHtU,The Sidh,https://open.spotify.com/artist/3boYI1yAlZAm5NmtCitCFj
Only for the Weak,4:54,63.0,3.0,https://open.spotify.com/track/0JBQnLKfLXmlkquabLtAgd,https://p.scdn.co/mp3-preview/93fe87076729d0fd97424be93dd05a3cd345e9b4?cid=2490920ce5574a1a9b97a3e366c39dd3,Clayman,2000-07-03,13.0,https://i.scdn.co/image/ab67616d00001e0241ae9b691f3c18957c8fcdb1,https://open.spotify.com/album/1hVhTWO9hlpPr7T8ORczRd,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
