name,followers,popularity,genres,image_url,external_url
If These Trees Could Talk,99931,47,"['american post-rock', 'instrumental post-rock', 'post-metal', 'post-rock']",https://i.scdn.co/image/77c49d19e75a90ffe530b8bcdefdb0ce4dfc746e,https://open.spotify.com/artist/2GVzsXcXyU95u2EahzwqN7
This Will Destroy You,187240,51,"['american post-rock', 'compositional ambient', 'drone metal', 'instrumental post-rock', 'post-rock']",https://i.scdn.co/image/ee399f998048cfbcf4745ee6d8bc53ca5a21a50b,https://open.spotify.com/artist/0MG4LXIw7n4x0wjDc6WYXk
Godspeed You! Black Emperor,244057,49,"['canadian post-rock', 'double drumming', 'instrumental post-rock', 'post-rock']",https://i.scdn.co/image/580fca2bcc314243a27257fbaa4f53901ae07c04,https://open.spotify.com/artist/4svpOyfmQKuWpHLjgy4cdK
MONO,120180,43,"['downtempo', 'instrumental post-rock', 'japanese post-rock', 'post-rock']",https://i.scdn.co/image/9ab3dc04b842a371968453579ce4a92a3f93752f,https://open.spotify.com/artist/53LVoipNTQ4lvUSJ61XKU3
Red Sparowes,44839,35,"['american post-rock', 'instrumental post-rock', 'post-metal', 'post-rock']",https://i.scdn.co/image/ab67616d00001e02357b340a53240da42cf8e8da,https://open.spotify.com/artist/4MT9A89Dq8xRJ9hMvvPiJw
Do Make Say Think,46885,37,"['canadian post-rock', 'double drumming', 'freak folk', 'post-rock']",https://i.scdn.co/image/ab6772690000dd2288512beab8b7ff34f5c71216,https://open.spotify.com/artist/1WudHeuEN3d18SXVos95mc
Explosions In The Sky,530488,58,"['american post-rock', 'cinematic post-rock', 'compositional ambient', 'instrumental post-rock', 'melancholia', 'post-rock']",https://i.scdn.co/image/90d047c2ec41477959e96134b7efd1062eae8976,https://open.spotify.com/artist/1uQWmt1OhuHGRKmZ2ZcL6p
Russian Circles,168712,48,"['american post-rock', 'instrumental rock', 'post-metal', 'post-rock']",https://i.scdn.co/image/abe4d6117d4cbedad952bbf4d9b88d4922cb0952,https://open.spotify.com/artist/0AZ3VR0YbFcS0Kgei7L2QF
Maybeshewill,68580,42,"['british post-rock', 'instrumental post-rock', 'post-rock']",https://i.scdn.co/image/94575073d27de3b8035b4234cdfdb5450fd88ec4,https://open.spotify.com/artist/33qUIIydEBgWpe58IA0o61
The Album Leaf,132128,52,"['american post-rock', 'compositional ambient', 'post-rock']",https://i.scdn.co/image/c02776fa1450dabc205221c6d58c60caa255e280,https://open.spotify.com/artist/02uPe16VFxPaiueQsPEDkE
