name,followers,popularity,genres,image_url,external_url
Pelican,84039,41,"['atmospheric post-metal', 'atmospheric sludge', 'drone metal', 'instrumental rock', 'post-doom metal', 'post-metal', 'post-rock', 'sludge metal', 'stoner metal']",https://i.scdn.co/image/a768babb53a69d9f2856455390b0e5a78670812e,https://api.spotify.com/v1/artists/0Gq06EJlfPumvCdMsnkJFp
Amenra,53739,40,"['atmospheric sludge', 'belgian metal', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock']",https://i.scdn.co/image/a38a2cd27d791a6ff32213bc3177d48ef1adb917,https://api.spotify.com/v1/artists/0N1jE1EIrhZjvQSfuLupUu
Kavinsky,658058,63,['filter house'],https://i.scdn.co/image/8c0785fed9f30cae6b12e6007de5bd4ca91a8eb9,https://api.spotify.com/v1/artists/0UF7XLthtbSF2Eur7559oV
Clutch,375196,60,"['alternative metal', 'alternative rock', 'funk metal', 'hard rock', 'modern blues rock', 'rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/c9f453f86d39b9ca7f100302f8a3492a7897267d,https://api.spotify.com/v1/artists/161AC1AVRkIGIMxyj5djFQ
Archive,182545,56,"['electronica', 'trip hop']",https://i.scdn.co/image/7cfd06405cdcc00d84eb9052920e3d2df76ef625,https://api.spotify.com/v1/artists/1Q776wzj2mrtXrNu3iH6nk
Old Man Gloom,30036,30,"['chaotic hardcore', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'sludge metal']",https://i.scdn.co/image/ab6772690000dd222f80ed67a34f76ba32b24037,https://api.spotify.com/v1/artists/1Rc7L8nr2gvXKlqDL4tVKj
Jesu,38766,38,"['birmingham metal', 'british experimental', 'dark jazz', 'drone', 'drone metal', 'dub metal', 'post-doom metal', 'post-metal', 'shoegaze', 'uk doom metal', 'uk post-metal']",https://i.scdn.co/image/ab6772690000dd224924153f6e6a2f2eb26c5710,https://api.spotify.com/v1/artists/1binm59tmJzoZLvLETVYBP
Black Rebel Motorcycle Club,429621,59,"['alternative rock', 'blues rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/bf6ce53a5908d07cae0bfedecef3fe0f493fed2f,https://api.spotify.com/v1/artists/1tpXaFf2F55E7kVJON4j4G
The Hunches,3515,23,"['garage pop', 'punk blues']",https://i.scdn.co/image/ab67616d00001e0276dca17da10a20087e3ca9c3,https://api.spotify.com/v1/artists/2NM4dbjQFcf4bMMowPBnSY
ISIS,104148,44,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'sludge metal', 'stoner metal']",https://i.scdn.co/image/b064e3c3ac7e435d960b204dd3b5ee4b14397e46,https://api.spotify.com/v1/artists/2vsXeWGC8rILp3rpSN2Fyk
TOOL,1681529,75,"['alternative metal', 'alternative rock', 'art rock', 'nu metal', 'post-metal', 'progressive metal', 'progressive rock', 'rock']",https://i.scdn.co/image/92203c0bb48f7f745fb71e7cbfab847dacdebe9e,https://api.spotify.com/v1/artists/2yEwvVSSSUkcLeSTNyHKh8
Mogwai,427554,58,"['british post-rock', 'chamber psych', 'cosmic post-rock', 'post-rock']",https://i.scdn.co/image/7c157bc82e38ba46af8ed23f30f3a3b83db8e820,https://api.spotify.com/v1/artists/34UhPkLbtFKRq3nmfFgejG
Baroness,196684,51,"['alternative metal', 'post-doom metal', 'progressive sludge', 'sludge metal']",https://i.scdn.co/image/025f39901ee5918b617d1feef50907f5f9aa2f0a,https://api.spotify.com/v1/artists/3KdXhEwbqFHfNfSk7L9E87
LEX,87732,52,['greek trap'],https://i.scdn.co/image/5f5e7bd97495cb823d4b7b6a3a9fcb0341f50b61,https://api.spotify.com/v1/artists/3ObDUGvTK5W2QJqBQyIkm1
Interpol,1169683,69,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/9cabfc9071803d3b17200b21fdb80c6a5553b8f7,https://api.spotify.com/v1/artists/3WaJSfKnzc65VDgmj2zU8B
Pavement,320893,62,"['alternative pop', 'alternative rock', 'anti-folk', 'art rock', 'dance rock', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'rock']",https://i.scdn.co/image/7972236ed86e8c7b82d12eeef5057e30a7b2fd91,https://api.spotify.com/v1/artists/3inCNiUr4R6XQ3W43s9Aqi
Omega Massif,10593,20,"['atmospheric post-metal', 'post-metal']",https://i.scdn.co/image/ab67616d00001e029cc6e6f00b3643b6cedc935d,https://api.spotify.com/v1/artists/3x1aecvlOZRUe1ecY7Xzgz
Red Sparowes,44839,35,"['american post-rock', 'instrumental post-rock', 'post-metal', 'post-rock']",https://i.scdn.co/image/ab67616d00001e02357b340a53240da42cf8e8da,https://api.spotify.com/v1/artists/4MT9A89Dq8xRJ9hMvvPiJw
Nightstalker,23011,38,"['greek metal', 'greek psychedelic rock', 'greek rock', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/39ebadfb4f9260c2432361af3e24233df53b5f23,https://api.spotify.com/v1/artists/4lypnrJxM8l7ZLtLVucEvk
At The Drive In,237489,52,"['alternative metal', 'alternative rock', 'dance-punk', 'el paso indie', 'emo', 'indie rock', 'modern rock', 'post-hardcore']",https://i.scdn.co/image/8eb7d9ca426120a2b2c9d2598e816d56bfeb75e7,https://api.spotify.com/v1/artists/5E2rtn57BM2WPjwak4kGd5
Terror X Crew,8631,28,"['greek hip hop', 'greek underground rap']",https://i.scdn.co/image/f341cbc3245cd83578ce3d679ad1cd507a982e4b,https://api.spotify.com/v1/artists/6BcH8kXMcqk9uQvqJdCWCp
Bossk,11829,25,"['atmospheric post-metal', 'atmospheric sludge', 'kent indie', 'post-metal']",https://i.scdn.co/image/ccc369049aa2f04261ccc717f5d46c5849d14ed7,https://api.spotify.com/v1/artists/6KPlPSPeF5BndJ7P888uSh
Scientists,11705,30,['punk blues'],https://i.scdn.co/image/dbd76573579e7d193e029f4c47adac082242a16e,https://api.spotify.com/v1/artists/6LTqstd1cGvRfEXaSkqoy1
Astronautalis,36605,45,"['abstract hip hop', 'experimental hip hop']",https://i.scdn.co/image/57ba56a9d7463f2349bf06ebea1a8709755c1c0e,https://api.spotify.com/v1/artists/6PWRJs1FosHp8Cqx0Nmswj
Placebo,1315269,70,"['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/3b0a2fa5a39b6b08dc9aac023364e5ddd5064392,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB
Boris Brejcha,659516,67,"['german house', 'german techno', 'minimal techno', 'tech house']",https://i.scdn.co/image/abd6b33807ae11750e33af2f5c53aeca50575493,https://api.spotify.com/v1/artists/6caPJFLv1wesmM7gwK1ACy
Buck 65,22864,35,['abstract hip hop'],https://i.scdn.co/image/ccbb9fd156faec1760b944ab81424bdc261c0030,https://api.spotify.com/v1/artists/6jbuMVAvWgoPxEb1wMglyz
She Past Away,81913,50,"['dark post-punk', 'gothic post-punk']",https://i.scdn.co/image/165f89e55bc6fae436edd73e937a7a9617ced59f,https://api.spotify.com/v1/artists/6paE8ghTau4qwwNzVRSgjR
Mouth Of The Architect,16608,22,['post-metal'],https://i.scdn.co/image/ab67616d00001e02026ae8b1c72f35dbbddd89ae,https://api.spotify.com/v1/artists/74Lk7WdgkYm19XoHvEsr5F
Cult Of Luna,82550,44,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']",https://i.scdn.co/image/1249995c076b71e75f9a98ee459c6602e6acfcec,https://api.spotify.com/v1/artists/7E7fJJpdVgr1F3pfAfRtHe
Arctic Monkeys,9902073,87,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH
Converge,140922,48,"['boston hardcore', 'chaotic hardcore', 'mathcore', 'melodic hardcore', 'metalcore', 'post-hardcore', 'screamo']",https://i.scdn.co/image/a004600ab5925378fd476348ee1cb5309794e4dc,https://api.spotify.com/v1/artists/7kHzfxMLtVHHb523s43rY1
Kylesa,69268,42,"['doom metal', 'double drumming', 'drone metal', 'gaian doom', 'post-doom metal', 'progressive sludge', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/6b74855ffb2b466578cd98c8d33a628be624d6eb,https://api.spotify.com/v1/artists/7mO0JGOATH8fVHvgCdZsXh
