song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
I'm So Tired,2020-11-05T09:24:05Z,1:58,57,12,https://open.spotify.com/track/5IafdoRLyaGPeeA6f8ysIe,https://p.scdn.co/mp3-preview/0fa0820bd5fa12b2f23822c8124cc8dcdae967f2?cid=2490920ce5574a1a9b97a3e366c39dd3,Instrument Soundtrack,1999,18,https://i.scdn.co/image/ab67616d00001e02528034c2cfe590178ac6657a,https://open.spotify.com/album/3tnzZhTTjRTExYc9odG0dt,Fugazi,https://open.spotify.com/artist/62sC6lUEWRjbFqXpMmOk4G
Black Soul Choir,2020-10-31T14:44:54Z,3:51,42,2,https://open.spotify.com/track/6ziQDVHvXcKm7N78CBNjY6,https://p.scdn.co/mp3-preview/5a5f186b4a788e15fc5f92f4369e67a2e1cbeaf5?cid=2490920ce5574a1a9b97a3e366c39dd3,Sackcloth -N- Ashes,1996-01-01,14,https://i.scdn.co/image/ab67616d00001e0267ed3eb976dedb9bf3274db9,https://open.spotify.com/album/6IufIUBhICqJv7Ex5SjX8k,16 Horsepower,https://open.spotify.com/artist/188gwh9RnRT58ZQPwqwHE3
Human Fly,2020-10-26T23:06:04Z,2:16,57,1,https://open.spotify.com/track/0ElRzK07sc9eszyk1ea9Ab,https://p.scdn.co/mp3-preview/cc0382e13249063e5d6b23c9cbb2e7b64844faac?cid=2490920ce5574a1a9b97a3e366c39dd3,Off The Bone,1983,17,https://i.scdn.co/image/ab67616d00001e0227c337cfb2be8c395b04d61d,https://open.spotify.com/album/1n1znRLH7iRtkhjbrCs0wi,The Cramps,https://open.spotify.com/artist/4lYtGx5NZQJHsMyhHc5iz3
Yègellé Tezeta,2020-10-26T22:33:30Z,3:14,56,6,https://open.spotify.com/track/7k3YrlUP1DxGe802jjuT1L,https://p.scdn.co/mp3-preview/6f9b2019e0b3ea1ba4662232959dad42d9e38139?cid=2490920ce5574a1a9b97a3e366c39dd3,New York - Addis - London: The Story of Ethio Jazz 1965-1975,1969,20,https://i.scdn.co/image/ab67616d00001e022dc45b4ecdff2825f6bfbf6b,https://open.spotify.com/album/1YaUAkNsLKXtJfb0FVZcyu,Mulatu Astatke,https://open.spotify.com/artist/7HGFXtBhRq3g1Ma3nH4Rgv
"Hold On, I'm Comin'",2020-10-17T16:33:54Z,2:35,67,1,https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB,https://p.scdn.co/mp3-preview/6c748613e0768a51b6f4479747146e11877c67d6?cid=2490920ce5574a1a9b97a3e366c39dd3,"Hold On, I'm Comin'",1966,12,https://i.scdn.co/image/ab67616d00001e0219b9fae8d9f602068a5a5557,https://open.spotify.com/album/2PBsbww0MYw9F1JzyYWIEO,Sam & Dave,https://open.spotify.com/artist/2BVYdY4PyfCF9z4NrkhEB2
Deceptacon,2020-10-15T17:32:12Z,3:04,61,1,https://open.spotify.com/track/5773KSWFzg9kCc8yazjbSt,https://p.scdn.co/mp3-preview/81174dbfc2309b3af285bdaa6f59df50ec1b57ef?cid=2490920ce5574a1a9b97a3e366c39dd3,Le Tigre,1999-10-26,12,https://i.scdn.co/image/ab67616d00001e025a89b59fec31efd8f780a6bb,https://open.spotify.com/album/0dSSZGzoukzrFBnG07J45i,Le Tigre,https://open.spotify.com/artist/2n6FviARgtjjimZXu18uRM
FOUR TEETH,2020-10-09T23:12:34Z,6:16,45,3,https://open.spotify.com/track/0EKTuuDuN8bAIwqFB1bPYY,https://p.scdn.co/mp3-preview/0251fae82478e779b33c3c5826f786c58c923143?cid=2490920ce5574a1a9b97a3e366c39dd3,Circumambulation,2013-07-23,8,https://i.scdn.co/image/ab67616d00001e02dde970b14b5b99dc2fc11af9,https://open.spotify.com/album/5xkD0KbkpBYK3n8rDA0y6j,True Widow,https://open.spotify.com/artist/7fS59zKuYPKhYlTGdg2PyM
Kissing Families,2020-10-09T15:43:17Z,4:50,50,1,https://open.spotify.com/track/7KBGSSpk34PRiBjM10YWwF,https://p.scdn.co/mp3-preview/69f8828b7393da5c7fa5c249d34a8b566ae13157?cid=2490920ce5574a1a9b97a3e366c39dd3,Pikul,2005-07-26,7,https://i.scdn.co/image/ab67616d00001e027f06b95ee567fdd51ebe28e8,https://open.spotify.com/album/6EOWhMWEkVk3SEAoYmDK3S,Silversun Pickups,https://open.spotify.com/artist/6qyi8X6MdP1lu6B1K6yh3h
Pick up the Pieces,2020-10-04T18:49:27Z,3:54,57,3,https://open.spotify.com/track/2H5nsVLjDwWsxfyajm0lVS,https://p.scdn.co/mp3-preview/fa85990160ae1f34c6d318c88665b44cb177d79a?cid=2490920ce5574a1a9b97a3e366c39dd3,Average White Band,1974,10,https://i.scdn.co/image/ab67616d00001e02daa03e4b4cccbb19fa084654,https://open.spotify.com/album/5SlfIp60F93VaOJjd88BXC,Average White Band,https://open.spotify.com/artist/3tx8fyu3c4OBP5nejYtUOb
Low Rider,2020-10-04T18:24:23Z,3:10,63,7,https://open.spotify.com/track/7Bz8yww6UMbTgTVLG6zbI4,https://p.scdn.co/mp3-preview/a097b489e03058a9785083aa104c5cab857a0528?cid=2490920ce5574a1a9b97a3e366c39dd3,Why Can't We Be Friends?,1975-01-01,9,https://i.scdn.co/image/ab67616d00001e02a07cc88003498f7559787673,https://open.spotify.com/album/59euB5Ns7yGbS06OYHwxRN,War,https://open.spotify.com/artist/3ICyfoySNDZqtBVmaBT84I
