name,followers,popularity,genres,image_url,external_url
Mogwai,427554.0,58.0,"['british post-rock', 'chamber psych', 'cosmic post-rock', 'post-rock']",https://i.scdn.co/image/7c157bc82e38ba46af8ed23f30f3a3b83db8e820,https://open.spotify.com/artist/34UhPkLbtFKRq3nmfFgejG
Interpol,1169683.0,69.0,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/9cabfc9071803d3b17200b21fdb80c6a5553b8f7,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
Cult Of Luna,82550.0,44.0,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']",https://i.scdn.co/image/1249995c076b71e75f9a98ee459c6602e6acfcec,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
Nightstalker,23011.0,38.0,"['greek metal', 'greek psychedelic rock', 'greek rock', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/39ebadfb4f9260c2432361af3e24233df53b5f23,https://open.spotify.com/artist/4lypnrJxM8l7ZLtLVucEvk
Boris Brejcha,659516.0,67.0,"['german house', 'german techno', 'minimal techno', 'tech house']",https://i.scdn.co/image/abd6b33807ae11750e33af2f5c53aeca50575493,https://open.spotify.com/artist/6caPJFLv1wesmM7gwK1ACy
Placebo,1315269.0,70.0,"['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/3b0a2fa5a39b6b08dc9aac023364e5ddd5064392,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
Arctic Monkeys,9902073.0,87.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Astronautalis,36605.0,45.0,"['abstract hip hop', 'experimental hip hop']",https://i.scdn.co/image/57ba56a9d7463f2349bf06ebea1a8709755c1c0e,https://open.spotify.com/artist/6PWRJs1FosHp8Cqx0Nmswj
Amenra,53739.0,40.0,"['atmospheric sludge', 'belgian metal', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock']",https://i.scdn.co/image/a38a2cd27d791a6ff32213bc3177d48ef1adb917,https://open.spotify.com/artist/0N1jE1EIrhZjvQSfuLupUu
ISIS,104148.0,44.0,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'sludge metal', 'stoner metal']",https://i.scdn.co/image/b064e3c3ac7e435d960b204dd3b5ee4b14397e46,https://open.spotify.com/artist/2vsXeWGC8rILp3rpSN2Fyk
Black Rebel Motorcycle Club,429621.0,59.0,"['alternative rock', 'blues rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/bf6ce53a5908d07cae0bfedecef3fe0f493fed2f,https://open.spotify.com/artist/1tpXaFf2F55E7kVJON4j4G
Arcade Fire,1831536.0,72.0,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",https://i.scdn.co/image/736a9a01d063d6d2cfa01db41dfec9bc6da58d8f,https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB
The Soft Moon,71408.0,46.0,"['dark post-punk', 'grave wave', 'nu gaze']",https://i.scdn.co/image/6c92ef3c7f47496f7c85ec2adb373235ef293b26,https://open.spotify.com/artist/40HeNm05FEAxGx8gUOV4my
Radiohead,5582080.0,82.0,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",https://i.scdn.co/image/563754af10b3d9f9f62a3458e699f58c4a02870f,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
The Brian Jonestown Massacre,235384.0,61.0,"['alternative rock', 'bay area indie', 'chamber psych', 'garage rock', 'indie rock', 'neo-psychedelic', 'nu gaze', 'psychedelic rock', 'rock', 'shoegaze']",https://i.scdn.co/image/13987e674da6564bdeaa81cfc91a8976a30b67fc,https://open.spotify.com/artist/30uiS1n3uIGXJEYFR1GVDy
Kylesa,69268.0,42.0,"['doom metal', 'double drumming', 'drone metal', 'gaian doom', 'post-doom metal', 'progressive sludge', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/6b74855ffb2b466578cd98c8d33a628be624d6eb,https://open.spotify.com/artist/7mO0JGOATH8fVHvgCdZsXh
LEX,87732.0,52.0,['greek trap'],https://i.scdn.co/image/5f5e7bd97495cb823d4b7b6a3a9fcb0341f50b61,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Muse,6061037.0,80.0,"['modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/17f00ec7613d733f2dd88de8f2c1628ea5f9adde,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI
Moby,1319627.0,73.0,"['downtempo', 'electronica']",https://i.scdn.co/image/20ff937d7bb21aae7cdd93f40fea9a4ac31b5da1,https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF
Ratatat,520130.0,70.0,"['alternative dance', 'electronica', 'indietronica', 'new rave']",https://i.scdn.co/image/4e3e13c8b993bde9898e49509fb9ae121636e05f,https://open.spotify.com/artist/57dN52uHvrHOxijzpIgu3E
The Dø,280858.0,56.0,"['french indie pop', 'french indietronica', 'french rock', 'rock independant francais']",https://i.scdn.co/image/0d94f0d43132aa9762a9958e4eba50c049d956ce,https://open.spotify.com/artist/2mcNCn1qbZUQ3J9KHapUxj
She Wants Revenge,195651.0,56.0,"['alternative dance', 'dance-punk', 'dark wave', 'indie rock', 'modern rock', 'new rave']",https://i.scdn.co/image/f5e30748dbcbc2f1b7146ebf31db857f5be355b9,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
She Past Away,81913.0,50.0,"['dark post-punk', 'gothic post-punk']",https://i.scdn.co/image/165f89e55bc6fae436edd73e937a7a9617ced59f,https://open.spotify.com/artist/6paE8ghTau4qwwNzVRSgjR
The Black Keys,3322505.0,76.0,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",https://i.scdn.co/image/11e05be425a0a64fa65db3deb6f4e2d12f8c04d4,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Lebanon Hanover,117082.0,54.0,"['dark post-punk', 'minimal wave']",https://i.scdn.co/image/3c28435011a15893faecdaaaa726a1ac26675fdc,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
Pavement,320893.0,62.0,"['alternative pop', 'alternative rock', 'anti-folk', 'art rock', 'dance rock', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'rock']",https://i.scdn.co/image/7972236ed86e8c7b82d12eeef5057e30a7b2fd91,https://open.spotify.com/artist/3inCNiUr4R6XQ3W43s9Aqi
Queens of the Stone Age,2439312.0,74.0,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/bb87dad4464becc47d17eeeb1ccc0dd1d0bf22d9,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn
At The Drive In,237489.0,52.0,"['alternative metal', 'alternative rock', 'dance-punk', 'el paso indie', 'emo', 'indie rock', 'modern rock', 'post-hardcore']",https://i.scdn.co/image/8eb7d9ca426120a2b2c9d2598e816d56bfeb75e7,https://open.spotify.com/artist/5E2rtn57BM2WPjwak4kGd5
