name,followers,popularity,genres,image_url,external_url
Interpol,1169683.0,69.0,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/9cabfc9071803d3b17200b21fdb80c6a5553b8f7,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
She Wants Revenge,195651.0,56.0,"['alternative dance', 'dance-punk', 'dark wave', 'indie rock', 'modern rock', 'new rave']",https://i.scdn.co/image/f5e30748dbcbc2f1b7146ebf31db857f5be355b9,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Nightstalker,23011.0,38.0,"['greek metal', 'greek psychedelic rock', 'greek rock', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/39ebadfb4f9260c2432361af3e24233df53b5f23,https://open.spotify.com/artist/4lypnrJxM8l7ZLtLVucEvk
Cult Of Luna,82550.0,44.0,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']",https://i.scdn.co/image/1249995c076b71e75f9a98ee459c6602e6acfcec,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
The Brian Jonestown Massacre,235384.0,61.0,"['alternative rock', 'bay area indie', 'chamber psych', 'garage rock', 'indie rock', 'neo-psychedelic', 'nu gaze', 'psychedelic rock', 'rock', 'shoegaze']",https://i.scdn.co/image/13987e674da6564bdeaa81cfc91a8976a30b67fc,https://open.spotify.com/artist/30uiS1n3uIGXJEYFR1GVDy
Lebanon Hanover,117082.0,54.0,"['dark post-punk', 'minimal wave']",https://i.scdn.co/image/3c28435011a15893faecdaaaa726a1ac26675fdc,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
Arctic Monkeys,9902073.0,87.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
LEX,87732.0,52.0,['greek trap'],https://i.scdn.co/image/5f5e7bd97495cb823d4b7b6a3a9fcb0341f50b61,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Queens of the Stone Age,2439312.0,74.0,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",https://i.scdn.co/image/bb87dad4464becc47d17eeeb1ccc0dd1d0bf22d9,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn
Devendra Banhart,490392.0,64.0,['freak folk'],https://i.scdn.co/image/290bc6969543b974e2f36c9e9d15791b80e423a1,https://open.spotify.com/artist/1YZEoYFXx4AxVv13OiOPvZ
