name,followers,popularity,genres,image_url,external_url
Cult Of Luna,82550,44,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']",https://i.scdn.co/image/1249995c076b71e75f9a98ee459c6602e6acfcec,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
LEX,87732,52,['greek trap'],https://i.scdn.co/image/5f5e7bd97495cb823d4b7b6a3a9fcb0341f50b61,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
If These Trees Could Talk,99931,47,"['american post-rock', 'instrumental post-rock', 'post-metal', 'post-rock']",https://i.scdn.co/image/77c49d19e75a90ffe530b8bcdefdb0ce4dfc746e,https://open.spotify.com/artist/2GVzsXcXyU95u2EahzwqN7
She Wants Revenge,195651,56,"['alternative dance', 'dance-punk', 'dark wave', 'indie rock', 'modern rock', 'new rave']",https://i.scdn.co/image/f5e30748dbcbc2f1b7146ebf31db857f5be355b9,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Anser,19838,39,"['greek trap', 'greek underground rap']",https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Radiohead,5582080,82,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",https://i.scdn.co/image/563754af10b3d9f9f62a3458e699f58c4a02870f,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
Boy Harsher,114436,55,"['dark post-punk', 'grave wave', 'western mass indie']",https://i.scdn.co/image/b5bf112baee665e78c59c0b73ad75c3ef032d0aa,https://open.spotify.com/artist/4iom7VVRU6AHRIu1JUXpLG
RNS,27551,35,"['greek hip hop', 'greek underground rap']",https://i.scdn.co/image/b015685931c53d41e904c1c8ea8041215825dd9d,https://open.spotify.com/artist/7FqnImvZxoX6EIrUgR0IIk
Muse,6061037,80,"['modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/17f00ec7613d733f2dd88de8f2c1628ea5f9adde,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI
Arctic Monkeys,9902073,87,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Interpol,1169683,69,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/9cabfc9071803d3b17200b21fdb80c6a5553b8f7,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
Bauhaus,407381,57,"['alternative rock', 'dance rock', 'dark wave', 'gothic rock', 'new wave', 'post-punk', 'uk post-punk']",https://i.scdn.co/image/7cfcb4df12bb3a2442e240e06cf901859b1046ea,https://open.spotify.com/artist/5N5tQ9Dx1h8Od7aRmGj7Fi
She Past Away,81913,50,"['dark post-punk', 'gothic post-punk']",https://i.scdn.co/image/165f89e55bc6fae436edd73e937a7a9617ced59f,https://open.spotify.com/artist/6paE8ghTau4qwwNzVRSgjR
Lebanon Hanover,117082,54,"['dark post-punk', 'minimal wave']",https://i.scdn.co/image/3c28435011a15893faecdaaaa726a1ac26675fdc,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
Placebo,1315269,70,"['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/3b0a2fa5a39b6b08dc9aac023364e5ddd5064392,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB
