song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Red Flags And Long Nights,5:08,46.0,1.0,https://open.spotify.com/track/5e0vfjC19908HLerbfbEkv,https://p.scdn.co/mp3-preview/ac3698ee25f59cae5b2d5bb4e85b889341d37542?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Will You Smile Again For Me,6:50,40.0,2.0,https://open.spotify.com/track/06L6ldA3rAsUrNWY4Q3vtu,https://p.scdn.co/mp3-preview/7bb0dc379ec81baca843f4c9b3015ed20696e877?cid=2490920ce5574a1a9b97a3e366c39dd3,Worlds Apart,2005-01-25,14.0,https://i.scdn.co/image/ab67616d00001e027a5ecb81867b171bb2c3e44d,https://open.spotify.com/album/0nT470JKGNwsCAH1WNSQE0,...And You Will Know Us by the Trail of Dead,https://open.spotify.com/artist/6wBUn8gMP85n8dPu6LoUcF
Rest My Chemistry,5:01,65.0,8.0,https://open.spotify.com/track/2VbOnf4BivY15wG1GS5Vtv,https://p.scdn.co/mp3-preview/2d5694334632af1958448d681d21cd149e6d9fac?cid=2490920ce5574a1a9b97a3e366c39dd3,Our Love To Admire,2007-07-10,11.0,https://i.scdn.co/image/ab67616d00001e021582c0de50ce5c8207fc5d97,https://open.spotify.com/album/46sLq54Ug5NbSxJg7wvqqK,Interpol,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
Vittorio,3:55,45.0,1.0,https://open.spotify.com/track/403xU330P0QnP2k9gt2icn,https://p.scdn.co/mp3-preview/b461bb93b682c81af31bad7d520203436a153816?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9.0,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Passing Through,6:03,37.0,9.0,https://open.spotify.com/track/7HgOVPbpCyHzVr1ayZloXr,https://p.scdn.co/mp3-preview/61e82da28e6fa7654e62571a6a814911ca35b380?cid=2490920ce5574a1a9b97a3e366c39dd3,Vertikal,2013-01-29,9.0,https://i.scdn.co/image/ab67616d00001e02d87ccbe34f43e299050f89c8,https://open.spotify.com/album/3TsA6xRDYRAm6ju9Y7fBYA,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
These Things,5:12,45.0,2.0,https://open.spotify.com/track/2YsRTMOXVh7x8LjMf2o5ko,https://p.scdn.co/mp3-preview/9d0d5089f4ccea885d5374813496cb6e61f7e11c?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Die World,4:33,40.0,1.0,https://open.spotify.com/track/3ZLFDPE35lm04kHyJEfkLV,https://p.scdn.co/mp3-preview/7520043873944a0920099a42d012f0e231d438d4?cid=2490920ce5574a1a9b97a3e366c39dd3,The World Is Getting Colder,2012-02-27,11.0,https://i.scdn.co/image/ab67616d00001e023203e3026ab4733374192d37,https://open.spotify.com/album/4IJBHdhLNFx7UC1AXsXJAO,Lebanon Hanover,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
Mpompan,3:55,40.0,8.0,https://open.spotify.com/track/6xPcYrgxvTqlSDIc577XJC,https://p.scdn.co/mp3-preview/cda5a19e3ee4e15b1b000066d33e0f4677afd9f9?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9.0,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
.Razoreater.,7:01,33.0,5.0,https://open.spotify.com/track/1zRhBVtQ6mKMpb8TXKYA0k,https://p.scdn.co/mp3-preview/581f6951568bdcc2f41f8b505ff6efebd2bbde84?cid=2490920ce5574a1a9b97a3e366c39dd3,Mass Iiii,2011-02-27,7.0,https://i.scdn.co/image/ab67616d00001e025df1d31c49354d27c2282660,https://open.spotify.com/album/0cz4QMBLYroCWCk9lYPex4,Amenra,https://open.spotify.com/artist/0N1jE1EIrhZjvQSfuLupUu
Obstacle 1,4:11,53.0,2.0,https://open.spotify.com/track/1v3H5oOSFpYcSAcgkhJYdp,https://p.scdn.co/mp3-preview/c857535dcf8459239e526a9ebd54c2315a0c165d?cid=2490920ce5574a1a9b97a3e366c39dd3,Turn on the Bright Lights,2002-01-01,11.0,https://i.scdn.co/image/ab67616d00001e02d5190cbc786e5a28a7cfa818,https://open.spotify.com/album/1OHVbCSeHvJ0wFstDzFvEa,Interpol,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
