song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Vittorio,3:55,45.0,1.0,https://open.spotify.com/track/403xU330P0QnP2k9gt2icn,https://p.scdn.co/mp3-preview/b461bb93b682c81af31bad7d520203436a153816?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9.0,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Red Flags And Long Nights,5:08,46.0,1.0,https://open.spotify.com/track/5e0vfjC19908HLerbfbEkv,https://p.scdn.co/mp3-preview/ac3698ee25f59cae5b2d5bb4e85b889341d37542?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Passing Through,6:03,37.0,9.0,https://open.spotify.com/track/7HgOVPbpCyHzVr1ayZloXr,https://p.scdn.co/mp3-preview/61e82da28e6fa7654e62571a6a814911ca35b380?cid=2490920ce5574a1a9b97a3e366c39dd3,Vertikal,2013-01-29,9.0,https://i.scdn.co/image/ab67616d00001e02d87ccbe34f43e299050f89c8,https://open.spotify.com/album/3TsA6xRDYRAm6ju9Y7fBYA,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
Dark City Dead Man,15:49,23.0,7.0,https://open.spotify.com/track/2vauvBj9LEzuFjHAhvhRai,https://p.scdn.co/mp3-preview/8d5c23ea71915bc1cdb90e9d3e82b79c5c12ceac?cid=2490920ce5574a1a9b97a3e366c39dd3,Somewhere Along The Highway,2006,7.0,https://i.scdn.co/image/ab67616d00001e025a5b03d38f54be96bbaa1491,https://open.spotify.com/album/23ISdAi8LzEGzhYETnQe8Q,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
Harness Your Hopes - (B-side),3:26,66.0,19.0,https://open.spotify.com/track/4tggZyGJMNJMooWuRbvN5q,https://p.scdn.co/mp3-preview/625ed756376ec64120806af0e0ca4988d5408547?cid=2490920ce5574a1a9b97a3e366c39dd3,Brighten the Corners: Nicene Creedence Ed.,1997,44.0,https://i.scdn.co/image/ab67616d00001e02ce675f774cf8610c2f805668,https://open.spotify.com/album/7Lv4eRt1QlaZXzxx5s2vvw,Pavement,https://open.spotify.com/artist/3inCNiUr4R6XQ3W43s9Aqi
Out Of Control,3:37,44.0,4.0,https://open.spotify.com/track/6gwJm7LgsaHdd3CWi4K8e8,https://p.scdn.co/mp3-preview/f11c6c40c92d03ce29e568a1b273f3f45615b1e9?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
T.G.K.,3:42,38.0,4.0,https://open.spotify.com/track/4IIySkSpBUxag0ukQSSqvX,https://p.scdn.co/mp3-preview/79da3402898aad8511bb8f0df1f52f691abec8fd?cid=2490920ce5574a1a9b97a3e366c39dd3,Tapeinoi Kai Peinasmenoi,2014-11-11,14.0,https://i.scdn.co/image/ab67616d00001e02beb71cd2f55b54335c165584,https://open.spotify.com/album/2A6zSyQLVhdkjrL6wJ2wzl,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Solstice,7:49,44.0,1.0,https://open.spotify.com/track/4haHeKboMsBXVcHSy0zJAW,https://p.scdn.co/mp3-preview/c1a92e29278d8e447828b7966e77a5e2a9354ba2?cid=2490920ce5574a1a9b97a3e366c39dd3,The Bones of a Dying World,2016-06-03,9.0,https://i.scdn.co/image/ab67616d00001e02da2163c6b2d1ffddec97605d,https://open.spotify.com/album/1Lodl6h6XvqagHDC1bnsC8,If These Trees Could Talk,https://open.spotify.com/artist/2GVzsXcXyU95u2EahzwqN7
Mousiki Gia Tsoglanous,4:04,44.0,5.0,https://open.spotify.com/track/4q8OAoLINDQjjuPPn8PlpB,https://p.scdn.co/mp3-preview/c566677b06784c2e812e488c19d1d48cd5b6c471?cid=2490920ce5574a1a9b97a3e366c39dd3,Tapeinoi Kai Peinasmenoi,2014-11-11,14.0,https://i.scdn.co/image/ab67616d00001e02beb71cd2f55b54335c165584,https://open.spotify.com/album/2A6zSyQLVhdkjrL6wJ2wzl,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
U.S.E.,5:25,14.0,2.0,https://open.spotify.com/track/5uM8desgeUaVKYfkQt6wNN,https://p.scdn.co/mp3-preview/c94af4b35fac3ccf052268207aa638acca377953?cid=2490920ce5574a1a9b97a3e366c39dd3,Use,1996-03-01,13.0,https://i.scdn.co/image/ab67616d00001e02fafd080efc6a7fc44a7b8f37,https://open.spotify.com/album/5P0EPBeEW411DtNoD9t0R7,Nightstalker,https://open.spotify.com/artist/4lypnrJxM8l7ZLtLVucEvk
