track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
5e0vfjC19908HLerbfbEkv,0,0,4,308987,143.232,0.627,0.543,-8.249,0.0319,0.00208,0.462,0.135,0.434
06L6ldA3rAsUrNWY4Q3vtu,5,0,4,410933,102.841,0.501,0.58,-5.69,0.0468,0.0113,3.31e-05,0.146,0.38
2VbOnf4BivY15wG1GS5Vtv,11,0,4,301093,150.093,0.47,0.878,-5.576,0.0377,0.0185,0.0839,0.276,0.423
403xU330P0QnP2k9gt2icn,2,1,4,235610,81.07,0.464,0.597,-9.813,0.222,0.627,0.82,0.213,0.271
7HgOVPbpCyHzVr1ayZloXr,4,1,4,363120,72.928,0.0895,0.221,-12.773,0.0426,0.0481,0.915,0.0994,0.0351
2YsRTMOXVh7x8LjMf2o5ko,10,0,4,312613,122.995,0.621,0.543,-8.51,0.0288,0.185,0.0868,0.115,0.365
3ZLFDPE35lm04kHyJEfkLV,1,1,4,273110,134.985,0.696,0.625,-7.95,0.0305,0.526,0.779,0.0774,0.781
6xPcYrgxvTqlSDIc577XJC,2,1,4,235814,85.471,0.607,0.591,-7.185,0.219,0.324,0.000703,0.246,0.676
1zRhBVtQ6mKMpb8TXKYA0k,4,1,4,421573,170.214,0.171,0.589,-7.079,0.0432,0.00123,0.756,0.146,0.0737
1v3H5oOSFpYcSAcgkhJYdp,5,1,4,251333,120.53,0.382,0.941,-4.906,0.0622,4.95e-05,0.52,0.0708,0.371
2vauvBj9LEzuFjHAhvhRai,11,0,3,949213,100.275,0.451,0.76,-6.44,0.034,0.00082,0.72,0.113,0.119
4tggZyGJMNJMooWuRbvN5q,2,1,4,206947,107.882,0.605,0.573,-7.804,0.037,0.289,0.0406,0.133,0.581
6gwJm7LgsaHdd3CWi4K8e8,2,1,4,217293,112.474,0.654,0.703,-6.911,0.0295,0.000501,0.0,0.113,0.555
1hTXo2iVw4fMyAwt9nzA51,4,1,4,281293,79.891,0.412,0.94,-4.566,0.0405,0.000198,0.454,0.128,0.847
4t1pjyruZoRQJ0E5KbL0gq,7,0,4,281782,114.556,0.362,0.731,-7.284,0.0478,0.000299,0.12,0.113,0.246
3urJUvRhgMrwydaTQFVEg9,1,0,4,284613,152.996,0.583,0.729,-6.645,0.0341,0.000522,1.47e-05,0.487,0.539
6mcxQ1Y3uQRU0IHsvdNLH1,4,1,4,236973,80.88,0.518,0.436,-14.134,0.0349,0.0157,0.000621,0.079,0.27
