name,followers,popularity,genres,image_url,external_url
Reading Corporation,5,0,[],,https://open.spotify.com/artist/0gR57gQUF1Mmn7h5ZuRIVi
ピアノ Solo Venice,296,17,[],https://i.scdn.co/image/ab67616d00001e02c2859df9e03019c04ce97dfc,https://open.spotify.com/artist/3eGdOrwnehiu1wiUZbtu3k
Ahanu,1134,45,[],https://i.scdn.co/image/ab67616d00001e02c52f7ce882e95a1984cd9702,https://open.spotify.com/artist/1HdSpgnFZUaN6T7q7IlO6v
Adam Ashby,589,0,"['environmental', 'meditation']",https://i.scdn.co/image/ab67616d00001e028c11839af6296db64530aa28,https://open.spotify.com/artist/5F4tRDDqkTLhPUb0bVceWQ
Olson Violin Trio,22,0,[],,https://open.spotify.com/artist/7t4ZK6TcGI2ShI3prMibvd
Mindfit Hypnosis,215,0,"['hypnosis', 'sleep']",,https://open.spotify.com/artist/3SoDsjCsiYnVujqZTQgjA8
Clori Gatti,25,0,[],https://i.scdn.co/image/ab67616d00001e02e2d3e9e14cba344f4df97ed7,https://open.spotify.com/artist/52Tag39Gn1X3kXhzke3LwF
Johann Pachelbel,111209,61,"['baroque', 'classical', 'german baroque']",https://i.scdn.co/image/f100834e66813638e7e8f547def87c32846270d0,https://open.spotify.com/artist/62TD7509VQIxUe4WpwO0s3
APM Symphony Orchestra,135,0,[],https://i.scdn.co/image/ab67616d00001e0292d1b742ab754a424a59949e,https://open.spotify.com/artist/1q7Vgmfh7uFsjICQ3TkCsK
Arr David Force,4,0,[],,https://open.spotify.com/artist/0fGP5IgEMcQg1AW16dqIpB
Valentinstag Klavier Solist,26,2,[],https://i.scdn.co/image/ab67616d00001e02cf7d9c8e25764a20d0b9437c,https://open.spotify.com/artist/0FdYKKBIO152eBuM5bQhXf
Burgmueller,59,0,[],https://i.scdn.co/image/ab67616d00001e02766d1a4bd930a56ef524c400,https://open.spotify.com/artist/6pbCsDeD6VfPrYsIIAXCbt
Kevin Doberstein.,246,14,['environmental'],https://i.scdn.co/image/ab67616d00001e02b20b7bc09a91df97227d72f9,https://open.spotify.com/artist/2MxrlF7oDga1FJQ2r0jmnu
Shakuhachi Sakano,6188,49,"['meditation', 'musica de fondo', 'sleep', 'world meditation']",https://i.scdn.co/image/46d81de05301ec1992205f8eddaf0d4b4c59779c,https://open.spotify.com/artist/2n508mzEccwkxrri4PfgZh
"State Symphony Orchestra ""Classika"" Conductor: Alexander Kantorov",43,0,[],,https://open.spotify.com/artist/4mnHt4Mb2mh4HENnRGoe24
Air and Simple Gifts,137,9,[],https://i.scdn.co/image/ab67616d00001e02b53a5579f9c47da5eb2540b5,https://open.spotify.com/artist/23iVHXY6mePUu9jaNzS4sd
Dr. Karma & Meditation,1330,11,"['erotica', 'meditation']",https://i.scdn.co/image/ab67616d00001e022fb9763558c980ecb497dad3,https://open.spotify.com/artist/6JY7DMkDOcs8fqIQV1o6Eq
Peter Zeugin,219,2,[],https://i.scdn.co/image/ab67616d00001e02813cce2f3a2f50bebb2bd2fa,https://open.spotify.com/artist/452b2o72twySM5rbFSnWWX
Simon Zaoui,29,14,[],https://i.scdn.co/image/4c25f1872ae48e938f08a5f267ec52d409bcc21a,https://open.spotify.com/artist/0y4uFmxQw0WohWEkBuE8gx
Gariel Luna,578,10,['relaxative'],https://i.scdn.co/image/ab67616d00001e02fc4a6eccbd2fec75bb521707,https://open.spotify.com/artist/7tVY637CBVu4k1HgeQcXmD
D12,1586505,68,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'rap rock']",https://i.scdn.co/image/1e2e08b41628310eec1a4659367513e82243ab4b,https://open.spotify.com/artist/5Qi4Bb7a8C0a00NZcA77L0
Bad Meets Evil,1090745,65,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/4f153c72bff6dccba21ffd360fc308f268a23659,https://open.spotify.com/artist/77IURH5NC56Jn09QHi76is
The Game,2822931,77,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/4a1a5df2b342712465a5941b6edb6038aedcec39,https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI
Hopsin,1738131,70,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/e5ca26a6e157156cb4c3e8cdde2e7e082deb2951,https://open.spotify.com/artist/7EWU4FhUJM1sZQgQKdENeT
Yelawolf,1516132,72,"['alabama rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",https://i.scdn.co/image/b0b9d299dd4dd7c50e5c964bc4d367bc1f25b7d7,https://open.spotify.com/artist/68DWke2VjdDmA75aJX5C57
DMX,2198048,74,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",https://i.scdn.co/image/8bf081adcfb9eb259fca3f0bd00b848153982d64,https://open.spotify.com/artist/1HwM5zlC5qNWhJtM00yXzG
