name,followers,popularity,genres,image_url,external_url
Studying Music,26216.0,46.0,['sleep'],https://i.scdn.co/image/ab67616d00001e02118df5d603f6ea61e60a1522,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Eminem,38966309.0,94.0,"['detroit hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ad64a7fbc24b31cd84455a1aef34758b94246352,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Giorgos Mazonakis,139991.0,53.0,"['greek pop', 'laiko']",https://i.scdn.co/image/758325f50cbc2aa4dd0a78445cfe7a63e052a624,https://open.spotify.com/artist/1gyBRbQACz4JJX2HRROigK
Mario Frangoulis,20575.0,40.0,['operatic pop'],https://i.scdn.co/image/5ba292df3778dbcd4f6723695cdb9a407acfd6b0,https://open.spotify.com/artist/7vqRhkyO8VkiMu39kEHizD
Concentration Music Ensemble,6015.0,28.0,[],https://i.scdn.co/image/ab67616d00001e02b5ced6bff14f655730c506bb,https://open.spotify.com/artist/4mIEpyA3lyJL02sTBwlzOV
Arctic Monkeys,9914023.0,87.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Pavlos Sidiropoulos,19453.0,37.0,['classic greek rock'],https://i.scdn.co/image/ab67616d00001e023694d6787a3528df7987faa4,https://open.spotify.com/artist/5Z4mEhHsWHyS10omStJ81u
Junkie XL,74131.0,66.0,"['big beat', 'soundtrack']",https://i.scdn.co/image/b562c779ccee6b3339206cb12a98f615e503e71c,https://open.spotify.com/artist/5svDnd8joFhbpbA3Ar0CfN
Dope D.O.D.,97500.0,52.0,['dutch hip hop'],https://i.scdn.co/image/a169a4eebda2f779b685c789143d69aa826bf4e0,https://open.spotify.com/artist/64UHlFDUkT8Hx3RCtDUieN
Aaron Steele,381.0,36.0,[],https://i.scdn.co/image/ab67616d00001e0204f216a79f2ee59a02fcd0db,https://open.spotify.com/artist/0F0dI29EHQcH4uuOHmiGWS
Leonie Werner,117.0,33.0,[],https://i.scdn.co/image/ab67616d00001e029e329da3cb7407deb6b05e3c,https://open.spotify.com/artist/0LsgMXHjKnywUlIG9jRcMm
Fort Minor,471735.0,67.0,['rap rock'],https://i.scdn.co/image/aa3d6958146845013754593a5942f48fd3feff1e,https://open.spotify.com/artist/7dWYWUbO68rXJOcyA7SpJk
The Strokes,3419591.0,79.0,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",https://i.scdn.co/image/2132488612fb623fc935055a4e88781cb57f3c5b,https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V
Kaiser Chiefs,1009021.0,64.0,"['alternative rock', 'dance-punk', 'modern rock', 'rock']",https://i.scdn.co/image/091ef267c1477b5c1a71453c89bf135025fe8f45,https://open.spotify.com/artist/0LbLWjaweRbO4FDKYlbfNt
Kasabian,1433920.0,68.0,"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/0819d4451bf042bc0949e3a04216c7ddf11047b2,https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue
The Vaccines,622851.0,62.0,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'rock']",https://i.scdn.co/image/955030229bcbb59ee184408f6f951475127b5fbb,https://open.spotify.com/artist/0Ak6DLKHtpR6TEEnmcorKA
The Last Shadow Puppets,696342.0,64.0,"['baroque pop', 'indie rock', 'modern rock', 'rock', 'sheffield indie']",https://i.scdn.co/image/c3d3f098f92fbacb7a16ab5ca1d801228b26e1b2,https://open.spotify.com/artist/2Z7UcsdweVlRbAk5wH5fsf
The Libertines,656159.0,61.0,"['alternative rock', 'britpop', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']",https://i.scdn.co/image/481e5f20520c6f49971bd54abba29cff863139db,https://open.spotify.com/artist/4fSPtBgFPZzygkY6MehwQ7
The Maccabees,315400.0,57.0,"['alternative dance', 'british indie rock', 'dance-punk', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/b66559958b04de036769c528e4910b876a29d939,https://open.spotify.com/artist/0vW8z9pZMGCcRtGPGtyqiB
Anser,19891.0,39.0,"['greek trap', 'greek underground rap']",https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
The Shins,992167.0,67.0,"['albuquerque indie', 'alternative rock', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'rock', 'stomp and holler']",https://i.scdn.co/image/f93b62000a9b4d6edb454912182d84dc14c4de94,https://open.spotify.com/artist/4LG4Bs1Gadht7TCrMytQUO
Tower Of Power,203078.0,54.0,"['funk', 'jazz funk', 'jazz fusion', 'modern funk', 'soul']",https://i.scdn.co/image/47e7ca111941d4919603d948d0af4f82af0bec66,https://open.spotify.com/artist/0JCxGVxsISZzJHJPUOtceB
James Brown,1591488.0,68.0,"['funk', 'motown', 'soul']",https://i.scdn.co/image/8590cf083b8ab7c1e13128e6f306a879e47ae49c,https://open.spotify.com/artist/7GaxyUddsPok8BuhxN6OUW
Interpol,1170680.0,69.0,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']",https://i.scdn.co/image/9cabfc9071803d3b17200b21fdb80c6a5553b8f7,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B
Frank Sinatra,4261027.0,82.0,"['adult standards', 'easy listening', 'lounge']",https://i.scdn.co/image/883de3e492364891543bc0313ffe516626778a16,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0
Kanye West,12668357.0,92.0,"['chicago rap', 'rap']",https://i.scdn.co/image/b1414e865a16bc0080085ee1901d0bfd19f83fcb,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Franz Ferdinand,1904768.0,70.0,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']",https://i.scdn.co/image/74d44570990858341836261beb39b3faa18f7603,https://open.spotify.com/artist/0XNa1vTidXlvJ2gHSsRi4A
Ed Sheeran,71571877.0,93.0,"['pop', 'uk pop']",https://i.scdn.co/image/31e1cfee4ec3849bf3036a037cbbf57239f5c7a2,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
Crystal Castles,799065.0,66.0,"['alternative dance', 'bitpop', 'dance-punk', 'digital hardcore', 'electropop', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore', 'nu gaze']",https://i.scdn.co/image/d90a0865e8bca5e5084049e8adc3485b3880848e,https://open.spotify.com/artist/7K3zpFXBvPcvzhj7zlGJdO
Miles Davis,1936111.0,68.0,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",https://i.scdn.co/image/a318c54208af38364d131a54ced2416423696018,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
The Kooks,1968852.0,72.0,"['brighton indie', 'modern rock', 'rock']",https://i.scdn.co/image/5264c2d939b8525546b99fa1d0f19888e47019b3,https://open.spotify.com/artist/1GLtl8uqKmnyCWxHmw9tL4
2Pac,9248101.0,83.0,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",https://i.scdn.co/image/e92cf49011e4c26f736cd479b0b64cb08f1b52c6,https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh
Phoenix,1627217.0,69.0,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",https://i.scdn.co/image/8fa8973bec63f13d4f216bc3b95b7192cb914ed0,https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU
Nas,2110010.0,78.0,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",https://i.scdn.co/image/3f22ab09e6f0e866b5f8d0680c66ed12654e768b,https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q
Kings of Leon,4446083.0,79.0,"['modern rock', 'rock']",https://i.scdn.co/image/dacc58a8a880bd5f0b0e577213b969d53dd702c2,https://open.spotify.com/artist/2qk9voo8llSGYcZ6xrBzKx
JAY-Z,5702178.0,87.0,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/027c5605d895158497ff377d92d69fe89dba1730,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
The Smiths,2385080.0,76.0,"['dance rock', 'madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",https://i.scdn.co/image/4bf08a9e6eea088b20d4092d1322bbd3f39ff9af,https://open.spotify.com/artist/3yY2gUcIsjMr8hjo51PoJ8
The Notorious B.I.G.,5611815.0,82.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/9bb42de208edcb69653a8e7951fa93b13f598cdd,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb
Nat King Cole,1434676.0,72.0,"['adult standards', 'vocal jazz']",https://i.scdn.co/image/d286eab8dd779da54ca4e4d7a946a26ac7c9e518,https://open.spotify.com/artist/7v4imS0moSyGdXyLgVTIV7
Taylor Swift,33376371.0,95.0,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",https://i.scdn.co/image/dc6f0ac18ad5db302e3c8a28b655b6ca7244ef08,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Hollywood Undead,1806288.0,76.0,"['alternative metal', 'nu metal', 'pop punk', 'rap metal', 'rap rock']",https://i.scdn.co/image/ada364028a6d47b5e9e63b32da49e55a2a235bd1,https://open.spotify.com/artist/0CEFCo8288kQU7mJi25s6E
