song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Gia To Kalo Mou,4:12,28.0,10.0,https://open.spotify.com/track/4wy1qsU8ToUGfYfhECwlAa,,14 Megala Tragoudia - Giannis Miliokas,2006-01-01,14.0,https://i.scdn.co/image/ab67616d00001e02923add7e42f86124ff9af85c,https://open.spotify.com/album/0l1HTQCPkaVfKSFBBo5Nu2,Giannis Miliokas,https://open.spotify.com/artist/0nYnGEECb74bc2xh9Y8LbU
What Happened,3:36,0.0,2.0,https://open.spotify.com/track/0qhnzl9VREWnu4Su5AevnD,,Branded,2011-09-23,21.0,https://i.scdn.co/image/ab67616d00001e0248a37a32e3db4b23faf10894,https://open.spotify.com/album/0zpQz4yJRu9HZTgqgH4bY6,Dope D.O.D.,https://open.spotify.com/artist/64UHlFDUkT8Hx3RCtDUieN
Music For Brain Power,3:15,15.0,13.0,https://open.spotify.com/track/5YPXv3hMm8PK7fbtDJEknu,https://p.scdn.co/mp3-preview/44fa85d4b4d742ee7f556e014019df7e2d598052?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Einstein Music,6:40,14.0,15.0,https://open.spotify.com/track/1iN0GKjBN0YdAG1WO996C1,https://p.scdn.co/mp3-preview/2376a0092cfcf5573ef21090d2177f4f8aa4613e?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Relaxing Music,4:49,14.0,9.0,https://open.spotify.com/track/50EB5yuNw7bj73dVO4CBWk,https://p.scdn.co/mp3-preview/62d0f41fb3fb675dd195961cec97ea82c9f3ebf9?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Reading Music,2:52,13.0,14.0,https://open.spotify.com/track/66sIAG5ffd62Pwwxqua9bG,https://p.scdn.co/mp3-preview/ce9452a4e6d2a93cc72b023ca34985683633735b?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Relaxing Piano,3:53,16.0,3.0,https://open.spotify.com/track/00tdpFA390HhIdfPJknTRw,https://p.scdn.co/mp3-preview/c6c71c68eedeec420afa8a2dd1da11dd5743683a?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Music To Make You Smarter,5:42,22.0,7.0,https://open.spotify.com/track/03KrSSOQx7NlQbrQ5rNkf1,https://p.scdn.co/mp3-preview/30826b90b568b16a121a2cac4d6ed1609f16fb26?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Study Music,3:08,15.0,4.0,https://open.spotify.com/track/0AO6WfqqGJlOpTohM5hnlz,https://p.scdn.co/mp3-preview/e768fcd59b915c01f1bf9e82f0b42f0409fb0aee?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
Postive Thinking,7:43,15.0,12.0,https://open.spotify.com/track/0AxZfaskg9SYZJ2qJEZAJ6,https://p.scdn.co/mp3-preview/747a11d52aec1e8f6db95863fb4b97b3579b386a?cid=2490920ce5574a1a9b97a3e366c39dd3,"Studying Music: Music to Study By, Relaxing Piano, Study Music, New Age Music, Meditation Music, Classical Piano",2012-02-16,45.0,https://i.scdn.co/image/ab67616d00001e025d2662bb69ed127e2beace43,https://open.spotify.com/album/4HEO3pfwYHMKOIjMAuYIDZ,Studying Music,https://open.spotify.com/artist/2CDApyOON0pYv8fWwC9U7i
