song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Vasiliades Tou Tipota,3:01,30,5,https://open.spotify.com/track/3tQWQmFsUHePdmkHHwgxg8,https://p.scdn.co/mp3-preview/8e6062e5b48871be8c884a3feda28f868f268e50?cid=2490920ce5574a1a9b97a3e366c39dd3,Vasiliades Tou Tipota,2018-12-29,14,https://i.scdn.co/image/ab67616d00001e02df2129022b3260ad93d5987e,https://open.spotify.com/album/2mcv6pVn1D3GhbsoyDYGZn,Mikros Kleftis,https://open.spotify.com/artist/1WNkrtDTdQ5izZf5L372i9
Fetos I Anoixi,3:32,25,2,https://open.spotify.com/track/0Kkp8YpKvhg6kQm3bJC4Jn,https://p.scdn.co/mp3-preview/66c67ca8550d2b2f69387a004757d3524ef268ed?cid=2490920ce5574a1a9b97a3e366c39dd3,Adyto,2019-03-13,12,https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/album/2ZYRap1o9GuuxOXwY1FHev,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Krim,3:58,36,5,https://open.spotify.com/track/12B6CqphUVldGJaQBWdgGg,https://p.scdn.co/mp3-preview/c6dd2858f83d335ed0520a29a6cb5a63e9f4eba7?cid=2490920ce5574a1a9b97a3e366c39dd3,2XXX,2018-05-15,9,https://i.scdn.co/image/ab67616d00001e024414bce921a62126d40992b5,https://open.spotify.com/album/1lz0jZD6kF18GrXWWLPUEM,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
Kerkida - Scratches Dj Cut Brawl,3:15,17,5,https://open.spotify.com/track/1eTqyXg6zqeC4OOr1MDIdE,https://p.scdn.co/mp3-preview/6bc43ae0a55e48b805d7120a4957d04d037eba8f?cid=2490920ce5574a1a9b97a3e366c39dd3,Flow Royal,2013-01-01,13,https://i.scdn.co/image/ab67616d00001e02d3066c88e40ea631a1323206,https://open.spotify.com/album/5Wl9BlDTXsuddkdHkbTxJZ,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Proidopoihsh,4:11,13,9,https://open.spotify.com/track/1nob6xdfRNWh2IzEOSMA58,https://p.scdn.co/mp3-preview/3478a6047a0ec11199b4c3d2257f0c6a03ea2712?cid=2490920ce5574a1a9b97a3e366c39dd3,Ta Afthentika Tis Polis,2010-02-10,10,https://i.scdn.co/image/ab67616d00001e027a7babab2a2905be4dfe42b2,https://open.spotify.com/album/1AJi7p16633RWDSD4FJmCM,Voreia Asteria,https://open.spotify.com/artist/6zGGlsaQlrVasqaIfBWZoE
Gia Afti Ti Hora,2:47,11,11,https://open.spotify.com/track/2LCCHWAiuD4KEtG8mquFUZ,https://p.scdn.co/mp3-preview/f1953375c363a0eb34dee44394ae46d2ee9d9f5f?cid=2490920ce5574a1a9b97a3e366c39dd3,Ithinon Nous,2008-01-01,18,https://i.scdn.co/image/ab67616d00001e02582cdd7e9e225ab2b7822dae,https://open.spotify.com/album/5I3hqEzsuEdTIGrZ7gjTZH,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Peta Enohes,4:55,13,9,https://open.spotify.com/track/2e6Ohy8EOO8IiGIgsdgx04,https://p.scdn.co/mp3-preview/b99658a2ccc12491bb66c8de794f67955e82b79d?cid=2490920ce5574a1a9b97a3e366c39dd3,Ithinon Nous,2008-01-01,18,https://i.scdn.co/image/ab67616d00001e02582cdd7e9e225ab2b7822dae,https://open.spotify.com/album/5I3hqEzsuEdTIGrZ7gjTZH,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Oi Antropoi Sta Hronia Mas,3:43,16,9,https://open.spotify.com/track/3DJLw6PQWLaqj0UHSO7TrB,https://p.scdn.co/mp3-preview/5d9b1729d508b8514aef6cfcd4e924d1fd43ac78?cid=2490920ce5574a1a9b97a3e366c39dd3,Flow Royal,2013-01-01,13,https://i.scdn.co/image/ab67616d00001e02d3066c88e40ea631a1323206,https://open.spotify.com/album/5Wl9BlDTXsuddkdHkbTxJZ,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Xamaretou,3:21,35,1,https://open.spotify.com/track/3LAC7GWE64Weuw4ASdFkwu,https://p.scdn.co/mp3-preview/c980571b42220e13c4f4a5648a439201f643c3ed?cid=2490920ce5574a1a9b97a3e366c39dd3,Xamaretou,2020-09-10,1,https://i.scdn.co/image/ab67616d00001e02bd8fdfa6683e8784735c6b57,https://open.spotify.com/album/5qO7dHlVipGTkmHthNslES,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Aklonitos,4:25,11,15,https://open.spotify.com/track/3oIzDFrVgGHco66mIQyxTv,https://p.scdn.co/mp3-preview/3dfc8dfec6e41609044e2a5d6b747e5b1e5b9f90?cid=2490920ce5574a1a9b97a3e366c39dd3,Ithinon Nous,2008-01-01,18,https://i.scdn.co/image/ab67616d00001e02582cdd7e9e225ab2b7822dae,https://open.spotify.com/album/5I3hqEzsuEdTIGrZ7gjTZH,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Ti Kai An,3:21,12,10,https://open.spotify.com/track/3wOm8hepfenqIvY3jWQtKR,https://p.scdn.co/mp3-preview/5f1346ee0d417f4b5fd7a8d37bc241a83702a2cd?cid=2490920ce5574a1a9b97a3e366c39dd3,Ithinon Nous,2008-01-01,18,https://i.scdn.co/image/ab67616d00001e02582cdd7e9e225ab2b7822dae,https://open.spotify.com/album/5I3hqEzsuEdTIGrZ7gjTZH,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
O Vrachos Mou,3:42,24,10,https://open.spotify.com/track/4JV6bN8pkUruFUrdBwPzwt,https://p.scdn.co/mp3-preview/9785d3332d05c24b9ed34ac926d9d9bee8896e69?cid=2490920ce5574a1a9b97a3e366c39dd3,Adyto,2019-03-13,12,https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/album/2ZYRap1o9GuuxOXwY1FHev,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Omada,3:23,11,14,https://open.spotify.com/track/61BI5UnOtJL0aMezZL2HN3,https://p.scdn.co/mp3-preview/9d953f4573ff8fae4e1605822dda7d32d7a74627?cid=2490920ce5574a1a9b97a3e366c39dd3,Ithinon Nous,2008-01-01,18,https://i.scdn.co/image/ab67616d00001e02582cdd7e9e225ab2b7822dae,https://open.spotify.com/album/5I3hqEzsuEdTIGrZ7gjTZH,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Fraxtis,3:37,37,7,https://open.spotify.com/track/6JvjO1Y5VP7v0NZHhdnm8x,https://p.scdn.co/mp3-preview/d485ab98e736f28716cdea2adcca1bf2ed57154f?cid=2490920ce5574a1a9b97a3e366c39dd3,Tapeinoi Kai Peinasmenoi,2014-11-11,14,https://i.scdn.co/image/ab67616d00001e02beb71cd2f55b54335c165584,https://open.spotify.com/album/2A6zSyQLVhdkjrL6wJ2wzl,LEX,https://open.spotify.com/artist/3ObDUGvTK5W2QJqBQyIkm1
To Lifestyle Tou Kolopaidou,3:28,17,6,https://open.spotify.com/track/7GYSa0SkvT141e8fuY15Bx,https://p.scdn.co/mp3-preview/5d574474d7e00db785f9fe60d1058c50a09ee6d7?cid=2490920ce5574a1a9b97a3e366c39dd3,De Mas Kses Kala,2007-01-09,24,https://i.scdn.co/image/ab67616d00001e02b05c7e564c1bf0868d0e6460,https://open.spotify.com/album/19EXYwVKU2IC1gw1eiU5rK,Anapoda Kapela,https://open.spotify.com/artist/48YI7lUezQmFznJEb2T6GJ
