track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
3tQWQmFsUHePdmkHHwgxg8,10,0,4,181053,113.959,0.78,0.552,-8.851,0.0683,0.197,0,0.1,0.197
0Kkp8YpKvhg6kQm3bJC4Jn,7,1,4,212683,127.999,0.736,0.682,-4.372,0.101,0.12,0,0.0718,0.307
12B6CqphUVldGJaQBWdgGg,4,0,4,238308,84.796,0.527,0.7,-9.27,0.194,0.161,0.00832,0.149,0.124
1eTqyXg6zqeC4OOr1MDIdE,7,0,4,195000,89.995,0.574,0.802,-6.371,0.117,0.611,2.68e-05,0.332,0.721
1nob6xdfRNWh2IzEOSMA58,8,0,4,251794,162.022,0.729,0.807,-5.048,0.181,0.0922,2.93e-06,0.208,0.717
2LCCHWAiuD4KEtG8mquFUZ,9,1,4,167827,92.891,0.773,0.637,-8.537,0.0636,0.524,0.00418,0.0819,0.682
2e6Ohy8EOO8IiGIgsdgx04,3,0,4,295480,166.033,0.725,0.772,-8.024,0.125,0.757,0,0.0728,0.949
3DJLw6PQWLaqj0UHSO7TrB,2,1,4,223653,88.106,0.543,0.899,-7.185,0.106,0.165,0,0.152,0.523
3LAC7GWE64Weuw4ASdFkwu,8,1,4,201739,138.068,0.687,0.812,-8.161,0.24,0.316,0.0118,0.135,0.514
3oIzDFrVgGHco66mIQyxTv,10,0,4,265867,92.002,0.688,0.832,-8.276,0.192,0.522,0.00015,0.339,0.75
3wOm8hepfenqIvY3jWQtKR,0,0,4,201013,174.101,0.629,0.637,-7.68,0.283,0.753,0.000119,0.13,0.961
4JV6bN8pkUruFUrdBwPzwt,8,0,4,222439,77.967,0.685,0.819,-5.487,0.2,0.241,0.00139,0.115,0.374
61BI5UnOtJL0aMezZL2HN3,10,0,4,203147,92.972,0.839,0.704,-7.833,0.142,0.299,0,0.386,0.783
6JvjO1Y5VP7v0NZHhdnm8x,7,1,4,217400,176.196,0.401,0.828,-4.273,0.38,0.267,0,0.152,0.51
7GYSa0SkvT141e8fuY15Bx,1,1,4,208928,93.945,0.699,0.551,-10.409,0.249,0.228,0,0.12,0.921
7yAtR4SCBZ41e7rh5ASIPX,7,0,4,398067,83.016,0.742,0.562,-11.894,0.389,0.583,0,0.639,0.592
4wy1qsU8ToUGfYfhECwlAa,0,1,4,252320,100.437,0.452,0.435,-9.401,0.0521,0.616,5.19e-05,0.117,0.243
0qhnzl9VREWnu4Su5AevnD,1,1,4,216929,85.883,0.484,0.636,-9.303,0.377,0.0324,0,0.155,0.347
5YPXv3hMm8PK7fbtDJEknu,6,0,3,195266,139.21,0.296,0.0641,-22.852,0.0335,0.892,0.0455,0.103,0.0405
1iN0GKjBN0YdAG1WO996C1,7,0,4,400955,144.969,0.295,0.233,-19.511,0.0358,0.966,0.9,0.102,0.089
50EB5yuNw7bj73dVO4CBWk,3,0,3,289203,133.632,0.247,0.0593,-24.754,0.0343,0.971,0.919,0.161,0.053
66sIAG5ffd62Pwwxqua9bG,1,1,4,172801,133.955,0.321,0.29,-14.768,0.033,0.978,0.934,0.119,0.216
00tdpFA390HhIdfPJknTRw,2,1,4,233013,124.365,0.364,0.074,-23.785,0.038,0.945,0.0733,0.0703,0.045
03KrSSOQx7NlQbrQ5rNkf1,11,1,4,342649,145.005,0.279,0.214,-19.019,0.0328,0.935,0.908,0.11,0.12
0AO6WfqqGJlOpTohM5hnlz,5,1,4,188605,123.002,0.336,0.174,-20.768,0.0435,0.965,0.871,0.113,0.128
0AxZfaskg9SYZJ2qJEZAJ6,3,0,4,463100,144.445,0.244,0.246,-18.395,0.0371,0.97,0.8,0.101,0.0975
0rq4tDtfxZyD4iDBMPcbgl,0,1,4,179906,141.568,0.337,0.0495,-25.643,0.0407,0.991,0.416,0.135,0.0955
1aymdByEFkBEgvX68IhBcL,7,1,4,236670,133.225,0.263,0.0464,-22.748,0.0375,0.963,0.197,0.118,0.0632
20Fuwqy4oSVKWJCfHPhnTj,10,1,4,281261,114.917,0.408,0.0487,-23.649,0.0573,0.991,0.907,0.118,0.0662
3DdI5IjDWd2P6ocYd9aMrp,11,1,3,170972,55.658,0.403,0.144,-15.619,0.0407,0.979,0.946,0.134,0.0704
3MXfTfXMf5JDSfdKar2r2k,11,1,4,228259,87.353,0.219,0.16,-19.148,0.0385,0.953,0.855,0.109,0.0895
