username,id,href,followers,accessed_at
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:06:06.096962
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:07:32.264828
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:09:45.203014
mantonis,gn5o75kkeodbgpceea3rvqelc,https://api.spotify.com/v1/users/gn5o75kkeodbgpceea3rvqelc,5,2020-11-04 17:12:43.713362
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:19:43.578808
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:37:39.851140
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:40:53.789710
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-04 17:47:48.600341
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-04 17:49:41.610754
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:42:24.700605
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:46:11.420735
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:51:01.776552
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:53:03.543422
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:55:25.627902
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 13:57:22.697969
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:00:07.038471
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:01:30.287551
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:03:54.967192
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:05:16.583803
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:06:40.171446
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:19:35.527485
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:20:07.530947
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:26:16.867453
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:32:40.671558
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:46:19.385159
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:49:14.367985
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:51:03.547503
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:54:26.502874
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:55:55.683788
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:57:02.562746
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 14:59:00.596073
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:00:34.380944
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:02:07.554993
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:03:18.095512
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:06:58.716118
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:11:07.411667
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:11:33.890121
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:21:53.420937
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 15:33:25.510083
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 15:35:36.273
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:37:42.272342
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 15:38:28.333724
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 15:39:00.564306
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:43:43.915228
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:45:55.737513
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:48:22.820218
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:49:25.708619
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:51:05.001182
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:53:05.991983
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:54:31.541309
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:56:18.627194
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 15:57:40.646661
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:01:10.841387
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:04:11.585866
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:10:32.721933
mantonis,gn5o75kkeodbgpceea3rvqelc,https://api.spotify.com/v1/users/gn5o75kkeodbgpceea3rvqelc,5,2020-11-05 16:22:42.701756
mantonis,gn5o75kkeodbgpceea3rvqelc,https://api.spotify.com/v1/users/gn5o75kkeodbgpceea3rvqelc,5,2020-11-05 16:28:55.429972
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:38:24.298183
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:41:16.428745
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 16:41:33.918542
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:43:03.249268
Χρυσάνθη Δούρβα,11122699626,https://api.spotify.com/v1/users/11122699626,16,2020-11-05 16:43:40.574804
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:46:01.646398
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:46:39.971668
11149582961,11149582961,https://api.spotify.com/v1/users/11149582961,16,2020-11-05 16:50:42.641658
11149582961,11149582961,https://api.spotify.com/v1/users/11149582961,16,2020-11-05 16:53:03.589614
Deffro,8xk62vwnpttz9zwjw8k853mhi,https://api.spotify.com/v1/users/8xk62vwnpttz9zwjw8k853mhi,13,2020-11-05 16:54:14.010094
