name,followers,popularity,genres,image_url,external_url
Miles Davis,1922249.0,67.0,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",https://i.scdn.co/image/a318c54208af38364d131a54ced2416423696018,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
Cesária Evora,220861.0,60.0,"['afropop', 'cape verdean folk', 'morna', 'twoubadou', 'world']",https://i.scdn.co/image/6c8b02095d61f33694605d93af0b27ca615096f8,https://open.spotify.com/artist/0Nks3cFWU2a7rooAlFQYgn
Relaxing Chill Out Music,6164.0,42.0,[],https://i.scdn.co/image/fb20c6ee15e3e02601e23af1f8f4947a6710e263,https://open.spotify.com/artist/7l4E9QSMtTTPc9XP30OprQ
Billie Eilish,33765736.0,93.0,"['electropop', 'pop']",https://i.scdn.co/image/dc74e8e210274fd6107a795db2455c1e03730667,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Arctic Monkeys,9809259.0,86.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/b435e99aa7f1e27db56b6a4dc9df85e5636b22d6,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Buena Vista Social Club,811821.0,67.0,"['latin jazz', 'musica tradicional cubana', 'world']",https://i.scdn.co/image/9542d171203522de67c83f0deaf855519b3c4438,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Moby,1309336.0,73.0,"['downtempo', 'electronica']",https://i.scdn.co/image/20ff937d7bb21aae7cdd93f40fea9a4ac31b5da1,https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF
Yann Tiersen,809814.0,70.0,"['bow pop', 'compositional ambient', 'french soundtrack']",https://i.scdn.co/image/c6c70c6c085fdd1d076eabb7cf3b04a416c8df5c,https://open.spotify.com/artist/00sazWvoTLOqg5MFwC68Um
Michalis Hatzigiannis,74182.0,53.0,"['cypriot pop', 'greek pop', 'laiko']",https://i.scdn.co/image/5434cdd0ea253593a7e2947a52f0107c70ead8d2,https://open.spotify.com/artist/77YRvt1TuxpCmW4Ydrx69A
Bill Evans,420530.0,64.0,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'stride', 'vocal jazz']",https://i.scdn.co/image/7a21999da5e80714ec222c493dae1c946f1bf36c,https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF
Parov Stelar,850757.0,67.0,"['downtempo', 'electro swing', 'nu jazz', 'tropical house']",https://i.scdn.co/image/48e873dfd7604d78c68fb9d7c4320ed5eea98356,https://open.spotify.com/artist/65EXuYHVoehCKqp0kOS6px
Miles Davis Sextet,46904.0,34.0,"['bebop', 'cool jazz', 'hard bop', 'jazz']",https://i.scdn.co/image/ab67616d00001e02fc610e983077edf3d076bcc4,https://open.spotify.com/artist/1i4ed4I1y7YerI0fQV4lVc
Chet Baker,636129.0,68.0,"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",https://i.scdn.co/image/baa4a09ca62a85dab5de4a8e9d635571b9cfac9d,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T
Yoga,48566.0,61.0,['sleep'],https://i.scdn.co/image/81900d49f487c739348ebadcba4f676f53c02ebc,https://open.spotify.com/artist/3hCKWhFiEID6G0QAkPAHR2
Hank Mobley Quintet,284.0,18.0,[],https://i.scdn.co/image/ab67616d00001e02e542b8f0825d4d005d949cd4,https://open.spotify.com/artist/21TnGY8mNcmxPXWb6KRYXK
John Hanks,962.0,56.0,"['chill guitar', 'focus']",https://i.scdn.co/image/3337ff53ac7dd312ae638986a2e61c027fce8d7c,https://open.spotify.com/artist/3MN3dRQvZWIRj0wTpY5QnY
Sergei Baronin,3678.0,57.0,"['chill guitar', 'focus']",https://i.scdn.co/image/ab67616d00001e026be404cf6891b8ad2d0d8e31,https://open.spotify.com/artist/43F9YqxW89cDIMwYv7Ruoy
Miranda Boumedin,2851.0,56.0,"['chill guitar', 'focus']",https://i.scdn.co/image/ab67616d00001e02bb82752c13f2b0ffcdb74389,https://open.spotify.com/artist/7EoXdWfRaaIxcEqlXjKmJ2
Ash,52460.0,59.0,['arab electronic'],https://i.scdn.co/image/4c2a381302a5febe2338083de9f91c5ab4718c16,https://open.spotify.com/artist/4nkuNzBcYGlNmAqFWbHLqS
Keith Jarrett,212627.0,59.0,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",https://i.scdn.co/image/c4ccce8cbacbe75dc9301ba0fb01e038fcce7ba1,https://open.spotify.com/artist/0F3Aew9DSd6fb6192K1K0Y
John Coltrane,1179481.0,67.0,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz saxophone']",https://i.scdn.co/image/650321aebf5b4ba7517aeaacc0e9e712708dc317,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
Spa,40878.0,68.0,['sleep'],https://i.scdn.co/image/2368914ea2758ef52b2a9bf2f1627fcfb12be333,https://open.spotify.com/artist/4LUYOHM73gVlfY5TzRbIgX
Miles Davis Quartet,58775.0,36.0,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']",https://i.scdn.co/image/ab67616d00001e0286b3a9589f9ccfc3e6167fe0,https://open.spotify.com/artist/4sQVPSDmfqIxG9W8o2EROX
Petit Biscuit,796852.0,74.0,"['new french touch', 'tropical house']",https://i.scdn.co/image/cd4300dc0632bf08ca7db06238aa3ff67bc5448a,https://open.spotify.com/artist/6gK1Uct5FEdaUWRWpU4Cl2
The Dreamers,35.0,1.0,[],https://i.scdn.co/image/fac4a68b948b6c58730595dc2afe666332831cb1,https://open.spotify.com/artist/7rvnOfv3iVGsg7jmnSrmrK
Lady Gaga,14069027.0,91.0,"['dance pop', 'pop']",https://i.scdn.co/image/44872ccb325d991170f6e273bc0c0ffdf7becfb1,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
Harry Styles,9854737.0,92.0,"['pop', 'post-teen pop']",https://i.scdn.co/image/44329fa8c646f4eb2bcf7af62afe195bfb2c4830,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
Rawh-Rawh Mitchells,544.0,37.0,[],,https://open.spotify.com/artist/43oSmnuuK1CnltiBPs0UHr
Miley Cyrus,12837377.0,88.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",https://i.scdn.co/image/cbb38b787dfd8f4beaeade87ec3d03c98cb1bbc4,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
Vasilis Papakonstadinou,34898.0,44.0,"['classic greek rock', 'entehno', 'laiko']",https://i.scdn.co/image/ab67616d00001e025c43a81f899b73aeaa51a83d,https://open.spotify.com/artist/6QO0eQd1MX0UrX582zWYcN
Conan Gray,1860946.0,86.0,"['bedroom pop', 'indie pop', 'pop']",https://i.scdn.co/image/1f323f0e04a57c061d160fca48656982e7c7dc69,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea
CryptoCanuck,7447.0,42.0,[],https://i.scdn.co/image/c6197154da0c3325a0e8798be4f6f721dd3144e1,https://open.spotify.com/artist/7mfFGIqTbLgWEVb6Bjx4h1
Passenger,2628853.0,77.0,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",https://i.scdn.co/image/d761ddc13463b9bc8cf6f89a5d869f349726dca7,https://open.spotify.com/artist/0gadJ2b9A4SKsB1RFkBb66
Gavin Luke,21714.0,66.0,"['background music', 'background piano', 'calming instrumental', 'focus', 'neo-classical']",https://i.scdn.co/image/9ea7e2288008813868ec99e8cc2f01826e5a8a7e,https://open.spotify.com/artist/2bqAlaRiT91dCQ7KMGnP8i
Elderbrook,161674.0,75.0,"['deep house', 'house', 'tropical house']",https://i.scdn.co/image/315e1911f2487a398cc99eae83ca40cc514d36a7,https://open.spotify.com/artist/2vf4pRsEY6LpL5tKmqWb64
FINNEAS,854502.0,77.0,"['indie pop', 'la indie', 'pop']",https://i.scdn.co/image/a7839df3ad5dd0de6a95bbbbff9b7e72b16af91c,https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX
